,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,TEX2,Q8IWB9,Q9HBM0,37931956,VEZT,0.8181554079055781,0.7375581860542291,0.055294245481491,0.157996088266372,0.5627301335334778
1,TEX2,Q8IWB9,Q6NUQ1,37931956,RINT1,0.8181554079055781,0.7375581860542291,0.054707199335098,0.054285436868667,0.6793385148048401
2,TEX2,Q8IWB9,P35610,37931956,SOAT1,0.8181554079055781,0.7375581860542291,0.081918075680732,0.08621822297573,0.7041405439376831
3,TEX2,Q8IWB9,Q9UGP8,37931956,SEC63,0.8181554079055781,0.7375581860542291,0.328695803880691,0.6818805932998651,0.763874888420105
4,TEX2,Q8IWB9,Q8NHH9,37931956,ATL2,0.8181554079055781,0.7375581860542291,0.052309613674879,0.378292620182037,0.5713343024253845
5,TEX2,Q8IWB9,Q9UKV5,37931956,AMFR,0.8181554079055781,0.7375581860542291,0.048638023436069,0.12116153538227,0.2597133219242096
6,TEX2,Q8IWB9,Q5SWA1,37931956,PPP1R15B,0.8181554079055781,0.7375581860542291,0.061520166695117,0.112613476812839,0.4696196615695953
7,TEX2,Q8IWB9,Q86XL3,37931956,ANKLE2,0.8181554079055781,0.7375581860542291,0.759124457836151,0.899663090705871,0.7534651160240173
8,TEX2,Q8IWB9,Q96NT0,37931956,CCDC115,0.8181554079055781,0.7375581860542291,0.051966316998004,0.133010700345039,0.5609298944473267
9,TEX2,Q8IWB9,Q8WUY1,37931956,THEM6,0.8181554079055781,0.7375581860542291,0.091537192463874,0.129799231886863,0.421306312084198
10,TEX2,Q8IWB9,Q9BSJ8,37931956,ESYT1,0.8181554079055781,0.7375581860542291,0.6062819361686701,0.431197941303253,0.6975587606430054
11,TEX2,Q8IWB9,O94763,37931956,URI1,0.8181554079055781,0.7375581860542291,0.72286033630371,0.791747748851776,0.4201254844665527
12,TEX2,Q8IWB9,Q9BTX1,37931956,NDC1,0.8181554079055781,0.7375581860542291,0.295504331588745,0.262205779552459,0.6380943059921265
13,TEX2,Q8IWB9,Q7Z4R8,37931956,C6orf120,0.8181554079055781,0.7375581860542291,0.049797438085079,0.035323418676853,0.3582790195941925
14,TEX2,Q8IWB9,O14579,37931956,COPE,0.8181554079055781,0.7375581860542291,0.270476400852203,0.312031269073486,0.3827633261680603
15,TEX2,Q8IWB9,Q9UFG5,37931956,C19orf25,0.8181554079055781,0.7375581860542291,0.046019930392503,0.084350079298019,0.5905565023422241
16,TEX2,Q8IWB9,P20337,37931956,RAB3B,0.8181554079055781,0.7375581860542291,0.108412541449069,0.192169442772865,0.5050364136695862
17,TEX2,Q8IWB9,P51153,37931956,RAB13,0.8181554079055781,0.7375581860542291,0.7162893414497371,0.7802711725234981,0.4550832211971283
18,TEX2,Q8IWB9,Q92575,37931956,UBXN4,0.8181554079055781,0.7375581860542291,0.372203946113586,0.7866442799568171,0.7505401968955994
19,TEX2,Q8IWB9,Q14318,37931956,FKBP8,0.8181554079055781,0.7375581860542291,0.070280067622661,0.132764652371406,0.4775342047214508
20,TEX2,Q8IWB9,Q9H6H4,37931956,REEP4,0.8181554079055781,0.7375581860542291,0.288006991147995,0.5560392141342161,0.6103593707084656
21,TEX2,Q8IWB9,Q9P0I2,37931956,EMC3,0.8181554079055781,0.7375581860542291,0.05691560357809,0.055256761610507,0.4331420063972473
22,TEX2,Q8IWB9,Q9P0L0,37931956,VAPA,0.8181554079055781,0.7375581860542291,0.50729352235794,0.8786071538925171,0.5310119390487671
23,TEX2,Q8IWB9,O95197,37931956,RTN3,0.8181554079055781,0.7375581860542291,0.387663185596466,0.5757285952568051,0.6595943570137024
24,TEX2,Q8IWB9,Q8WVC6,37931956,DCAKD,0.8181554079055781,0.7375581860542291,0.059403348714113,0.13548420369625,0.3570315241813659
