,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
35258,EIF4A3,AATF,P38919,Q9NY61,0.175627097487449,0.216653198003768,0.897929191589355,0.759698510169982
35291,EIF4A3,AKAP17A,P38919,Q02040,0.175627097487449,0.216653198003768,0.199976652860641,0.619710862636566
35301,EIF4A3,ANGEL2,P38919,Q5VTE6,0.175627097487449,0.216653198003768,0.052643012255430006,0.056833129376173006
35303,EIF4A3,ANLN,P38919,Q9NQW6,0.175627097487449,0.216653198003768,0.881227672100067,0.8464059829711911
35312,EIF4A3,API5,P38919,Q9BZZ5,0.175627097487449,0.216653198003768,0.14261569082736902,0.564770877361297
35313,EIF4A3,AQR,P38919,O60306,0.175627097487449,0.216653198003768,0.06666328012943201,0.139973536133766
35359,EIF4A3,BCLAF1,P38919,Q9NYF8,0.175627097487449,0.216653198003768,0.9303821325302121,0.892946720123291
35361,EIF4A3,BEND3,P38919,Q5T5X7,0.175627097487449,0.216653198003768,0.7461804151535031,0.873614311218261
35363,EIF4A3,BMS1,P38919,Q14692,0.175627097487449,0.216653198003768,0.07657121121883301,0.501774668693542
35378,EIF4A3,BTAF1,P38919,O14981,0.175627097487449,0.216653198003768,0.049722783267498,0.117132268846035
35393,EIF4A3,C19orf47,P38919,Q8N9M1,0.175627097487449,0.216653198003768,0.32374054193496704,0.44308933615684504
35400,EIF4A3,CACTIN,P38919,Q8WUQ7,0.175627097487449,0.216653198003768,0.5397652387619011,0.6840378642082211
35416,EIF4A3,CCAR1,P38919,Q8IX12,0.175627097487449,0.216653198003768,0.8194368481636041,0.926390826702117
35417,EIF4A3,CCAR2,P38919,Q8N163,0.175627097487449,0.216653198003768,0.6183393597602841,0.650231957435607
35419,EIF4A3,CCDC174,P38919,Q6PII3,0.175627097487449,0.216653198003768,0.16875198483467102,0.252115190029144
35422,EIF4A3,CCDC97,P38919,Q96F63,0.175627097487449,0.216653198003768,0.7232373952865601,0.8200989961624141
