,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
124006,SMG7,AGO2,Q92540,Q9UKV8,0.7485496997833251,0.6801263689994811,0.125312715768814,0.8902974128723141
124016,SMG7,AKAP8,Q92540,O43823,0.7485496997833251,0.6801263689994811,0.929825782775878,0.8914829492568971
124020,SMG7,ALG13,Q92540,Q9NP73,0.7485496997833251,0.6801263689994811,0.364426672458648,0.10586695373058301
124040,SMG7,ARID1A,Q92540,O14497,0.7485496997833251,0.6801263689994811,0.9357618093490601,0.8561372756958001
124047,SMG7,ARNT,Q92540,P27540,0.7485496997833251,0.6801263689994811,0.24580805003643003,0.28137129545211703
124071,SMG7,BCOR,Q92540,Q6W2J9,0.7485496997833251,0.6801263689994811,0.853329479694366,0.614456474781036
124079,SMG7,BRCA1,Q92540,P38398,0.7485496997833251,0.6801263689994811,0.8090798258781431,0.709205985069274
124086,SMG7,BYSL,Q92540,Q13895,0.7485496997833251,0.6801263689994811,0.10541991144418701,0.287927567958831
124140,SMG7,CELF2,Q92540,O95319,0.7485496997833251,0.6801263689994811,0.6175681352615351,0.626740992069244
124143,SMG7,CEP85,Q92540,Q6P2H3,0.7485496997833251,0.6801263689994811,0.686874747276306,0.628072619438171
124160,SMG7,CIC,Q92540,Q96RK0,0.7485496997833251,0.6801263689994811,0.9094964265823361,0.674268245697021
124171,SMG7,CNOT1,Q92540,A5YKK6,0.7485496997833251,0.6801263689994811,0.16742576658725702,0.152645871043205
124172,SMG7,CNOT10,Q92540,Q9H9A5,0.7485496997833251,0.6801263689994811,0.048076625913381,0.130353718996047
124174,SMG7,CNOT2,Q92540,Q9NZN8,0.7485496997833251,0.6801263689994811,0.8796504139900201,0.9464982748031611
124175,SMG7,CNOT3,Q92540,O75175,0.7485496997833251,0.6801263689994811,0.8002820014953611,0.7462113499641411
124177,SMG7,CNOT8,Q92540,Q9UFF9,0.7485496997833251,0.6801263689994811,0.124943397939205,0.03493395447731
124192,SMG7,CPEB4,Q92540,Q17RY0,0.7485496997833251,0.6801263689994811,0.7140009999275201,0.7536411285400391
124197,SMG7,CPSF7,Q92540,Q8N684,0.7485496997833251,0.6801263689994811,0.806454062461853,0.8767009973526001
124200,SMG7,CREBBP,Q92540,Q92793,0.7485496997833251,0.6801263689994811,0.922878623008728,0.5410744547843931
124206,SMG7,CSNK2A1,Q92540,P68400,0.7485496997833251,0.6801263689994811,0.789191603660583,0.870398819446563
