,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
142433,TNRC6A,AGO1,Q8NDV7,Q9UL18,0.94635409116745,0.9126369357109071,0.061913449317216006,0.14257833361625602
142434,TNRC6A,AGO2,Q8NDV7,Q9UKV8,0.94635409116745,0.9126369357109071,0.125312715768814,0.8902974128723141
142435,TNRC6A,AGO3,Q8NDV7,Q9H9G7,0.94635409116745,0.9126369357109071,0.07245331257581701,0.351395457983016
142436,TNRC6A,AGO4,Q8NDV7,Q9HCK5,0.94635409116745,0.9126369357109071,0.045409031212329004,0.091370992362499
142444,TNRC6A,ALG13,Q8NDV7,Q9NP73,0.94635409116745,0.9126369357109071,0.364426672458648,0.10586695373058301
142449,TNRC6A,ANKHD1,Q8NDV7,Q8IWZ3,0.94635409116745,0.9126369357109071,0.6686410307884211,0.484839290380477
142450,TNRC6A,ANKRD17,Q8NDV7,O75179,0.94635409116745,0.9126369357109071,0.8482596278190611,0.7491549253463741
142488,TNRC6A,BTG3,Q8NDV7,Q14201,0.94635409116745,0.9126369357109071,0.371736824512481,0.5334644317626951
142522,TNRC6A,CEP85,Q8NDV7,Q6P2H3,0.94635409116745,0.9126369357109071,0.686874747276306,0.628072619438171
142533,TNRC6A,CNOT1,Q8NDV7,A5YKK6,0.94635409116745,0.9126369357109071,0.16742576658725702,0.152645871043205
142534,TNRC6A,CNOT10,Q8NDV7,Q9H9A5,0.94635409116745,0.9126369357109071,0.048076625913381,0.130353718996047
142535,TNRC6A,CNOT11,Q8NDV7,Q9UKZ1,0.94635409116745,0.9126369357109071,0.22426322102546603,0.13013821840286202
142536,TNRC6A,CNOT2,Q8NDV7,Q9NZN8,0.94635409116745,0.9126369357109071,0.8796504139900201,0.9464982748031611
142537,TNRC6A,CNOT3,Q8NDV7,O75175,0.94635409116745,0.9126369357109071,0.8002820014953611,0.7462113499641411
142538,TNRC6A,CNOT4,Q8NDV7,O95628,0.94635409116745,0.9126369357109071,0.81230479478836,0.8261866569519041
142539,TNRC6A,CNOT6,Q8NDV7,Q9ULM6,0.94635409116745,0.9126369357109071,0.04978821426630001,0.08510836213827101
142540,TNRC6A,CNOT6L,Q8NDV7,Q96LI5,0.94635409116745,0.9126369357109071,0.052588243037462006,0.054170239716768
142541,TNRC6A,CNOT7,Q8NDV7,Q9UIV1,0.94635409116745,0.9126369357109071,0.049496985971927004,0.074488848447799
142542,TNRC6A,CNOT8,Q8NDV7,Q9UFF9,0.94635409116745,0.9126369357109071,0.124943397939205,0.03493395447731
142543,TNRC6A,CNOT9,Q8NDV7,Q92600,0.94635409116745,0.9126369357109071,0.08026347309350901,0.085335381329059
142544,TNRC6A,CNTROB,Q8NDV7,Q8N137,0.94635409116745,0.9126369357109071,0.052459836006164,0.06312469393014901
142552,TNRC6A,CPEB4,Q8NDV7,Q17RY0,0.94635409116745,0.9126369357109071,0.7140009999275201,0.7536411285400391
142578,TNRC6A,DCP1A,Q8NDV7,Q9NPI6,0.94635409116745,0.9126369357109071,0.41658067703247004,0.9291802644729611
142579,TNRC6A,DCP1B,Q8NDV7,Q8IZD4,0.94635409116745,0.9126369357109071,0.706972122192382,0.6831697821617121
142604,TNRC6A,DLG5,Q8NDV7,Q8TDM6,0.94635409116745,0.9126369357109071,0.756116449832916,0.714307785034179
142624,TNRC6A,EDC4,Q8NDV7,Q6P2E9,0.94635409116745,0.9126369357109071,0.72339904308319,0.47514921426773005
142645,TNRC6A,EIF4E2,Q8NDV7,O60573,0.94635409116745,0.9126369357109071,0.06450005620718001,0.18189403414726202
142646,TNRC6A,EIF4ENIF1,Q8NDV7,Q9NRA8,0.94635409116745,0.9126369357109071,0.918528199195861,0.8912989497184751
142679,TNRC6A,FMR1,Q8NDV7,Q06787,0.94635409116745,0.9126369357109071,0.5003023147583,0.9142025709152221
142681,TNRC6A,FUBP3,Q8NDV7,Q96I24,0.94635409116745,0.9126369357109071,0.927373111248016,0.896067440509796
142689,TNRC6A,GIGYF1,Q8NDV7,O75420,0.94635409116745,0.9126369357109071,0.8790502548217771,0.863427340984344
142690,TNRC6A,GIGYF2,Q8NDV7,Q6Y7W6,0.94635409116745,0.9126369357109071,0.935945630073547,0.938090026378631
142710,TNRC6A,HELZ,Q8NDV7,P42694,0.94635409116745,0.9126369357109071,0.8446741104125971,0.836807429790496
142822,TNRC6A,MARF1,Q8NDV7,Q9Y4F3,0.94635409116745,0.9126369357109071,0.10917707532644201,0.290735512971878
142897,TNRC6A,OTUD4,Q8NDV7,Q01804,0.94635409116745,0.9126369357109071,0.7899363040924071,0.5325272679328911
142902,TNRC6A,PAN2,Q8NDV7,Q504Q3,0.94635409116745,0.9126369357109071,0.048762954771518006,0.08457577228546101
142903,TNRC6A,PAN3,Q8NDV7,Q58A45,0.94635409116745,0.9126369357109071,0.33015498518943703,0.08147920668125101
142906,TNRC6A,PATL1,Q8NDV7,Q86TB9,0.94635409116745,0.9126369357109071,0.6750744581222531,0.5648705363273621
142961,TNRC6A,PRRC2B,Q8NDV7,Q5JSZ5,0.94635409116745,0.9126369357109071,0.9129469990730281,0.7642971277236931
