,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,SLX4,Q8IY92,Q8N7H5,37071664,PAF1,0.761535346508026,0.494003683328628,0.866304278373718,0.923186302185058,0.4270738661289215
1,SLX4,Q8IY92,Q6ZW49,37071664,PAXIP1,0.761535346508026,0.494003683328628,0.643753767013549,0.7459143996238701,0.4503443241119385
2,SLX4,Q8IY92,P49959,37071664,MRE11,0.761535346508026,0.494003683328628,0.9253407716751092,0.918364822864532,0.4627723693847656
3,SLX4,Q8IY92,O60216,37071664,RAD21,0.761535346508026,0.494003683328628,0.7908409833908081,0.924137592315673,0.5177116394042969
4,SLX4,Q8IY92,P55081,37071664,MFAP1,0.761535346508026,0.494003683328628,0.800705790519714,0.822628378868103,0.4049036502838135
5,SLX4,Q8IY92,Q15554,37071664,TERF2,0.761535346508026,0.494003683328628,0.120320498943328,0.658183276653289,0.5610299110412598
6,SLX4,Q8IY92,P53350,37071664,PLK1,0.761535346508026,0.494003683328628,0.5187940597534181,0.5253024697303771,0.4023693203926086
7,SLX4,Q8IY92,O60934,37071664,NBN,0.761535346508026,0.494003683328628,0.8640257120132441,0.892363250255584,0.4587429463863373
8,SLX4,Q8IY92,Q96EB6,37071664,SIRT1,0.761535346508026,0.494003683328628,0.731578409671783,0.60180926322937,0.5548100471496582
9,SLX4,Q8IY92,Q86VI3,37071664,IQGAP3,0.761535346508026,0.494003683328628,0.053087532520294,0.136623471975326,0.4110609591007232
10,SLX4,Q8IY92,Q96HS1,37071664,PGAM5,0.761535346508026,0.494003683328628,0.051073245704174,0.134116306900978,0.3128914833068847
11,SLX4,Q8IY92,P17480,37071664,UBTF,0.761535346508026,0.494003683328628,0.8725005984306331,0.8459479212760921,0.5145977139472961
12,SLX4,Q8IY92,Q5T9A4,37071664,ATAD3B,0.761535346508026,0.494003683328628,0.198191136121749,0.473797023296356,0.3884162306785583
13,SLX4,Q8IY92,Q13573,37071664,SNW1,0.761535346508026,0.494003683328628,0.904046356678009,0.8782021403312681,0.4951574206352234
14,SLX4,Q8IY92,Q9H0H5,37071664,RACGAP1,0.761535346508026,0.494003683328628,0.7447931170463561,0.922767460346221,0.3461732268333435
15,SLX4,Q8IY92,P29590,37071664,PML,0.761535346508026,0.494003683328628,0.508646845817565,0.554831385612487,0.4308086335659027
16,SLX4,Q8IY92,Q8IX21,37071664,SLF2,0.761535346508026,0.494003683328628,0.8586428761482231,0.5336834192276,0.5066966414451599
17,SLX4,Q8IY92,Q96AY2,37071664,EME1,0.761535346508026,0.494003683328628,0.350599616765975,0.7201732397079461,0.4450653493404388
18,SLX4,Q8IY92,Q6DN90,37071664,IQSEC1,0.761535346508026,0.494003683328628,0.8822590112686151,0.7487744092941281,0.3576522469520569
19,SLX4,Q8IY92,P49792,37071664,RANBP2,0.761535346508026,0.494003683328628,0.8792891502380371,0.940941214561462,0.5388059616088867
20,SLX4,Q8IY92,O15131,37071664,KPNA5,0.761535346508026,0.494003683328628,0.056642413139343,0.048303164541721,0.5797120332717896
21,SLX4,Q8IY92,Q7Z589,37071664,EMSY,0.761535346508026,0.494003683328628,0.8583018183708191,0.7716549634933471,0.4564136564731598
22,SLX4,Q8IY92,Q5VYV7,37071664,SLX4IP,0.761535346508026,0.494003683328628,0.430251270532608,0.558419167995452,0.2761575877666473
23,SLX4,Q8IY92,Q9NXL9,37071664,MCM9,0.761535346508026,0.494003683328628,0.059613406658172,0.459368079900741,0.4687198102474212
24,SLX4,Q8IY92,Q8IX18,37071664,DHX40,0.761535346508026,0.494003683328628,0.054080009460449,0.334910303354263,0.5703781843185425
25,SLX4,Q8IY92,O15164,37071664,TRIM24,0.761535346508026,0.494003683328628,0.8822690844535821,0.872316837310791,0.4524866938591003
26,SLX4,Q8IY92,Q76FK4,37071664,NOL8,0.761535346508026,0.494003683328628,0.9286092519760132,0.8510907292366021,0.6323100924491882
27,SLX4,Q8IY92,Q8WVZ9,37071664,KBTBD7,0.761535346508026,0.494003683328628,0.053745102137327,0.033030219376087,0.5024744868278503
28,SLX4,Q8IY92,Q5T8P6,37071664,RBM26,0.761535346508026,0.494003683328628,0.802100777626037,0.9249763488769532,0.5584709644317627
29,SLX4,Q8IY92,Q9NW64,37071664,RBM22,0.761535346508026,0.494003683328628,0.8540207147598261,0.7634013295173641,0.4286621212959289
30,SLX4,Q8IY92,P07992,37071664,ERCC1,0.761535346508026,0.494003683328628,0.061592675745487,0.050437159836292,0.2888336777687073
31,SLX4,Q8IY92,Q9Y2T2,37071664,AP3M1,0.761535346508026,0.494003683328628,0.128084987401962,0.088939897716045,0.3426975011825561
32,SLX4,Q8IY92,O15226,37071664,NKRF,0.761535346508026,0.494003683328628,0.850315690040588,0.8563464283943171,0.6201881766319275
33,SLX4,Q8IY92,Q6PD62,37071664,CTR9,0.761535346508026,0.494003683328628,0.9001364707946771,0.903422713279724,0.5055497288703918
34,SLX4,Q8IY92,P49840,37071664,GSK3A,0.761535346508026,0.494003683328628,0.90779960155487,0.731020390987396,0.4155836999416351
35,SLX4,Q8IY92,Q9UGU0,37071664,TCF20,0.761535346508026,0.494003683328628,0.938023686408996,0.906962275505065,0.5414736270904541
