Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
EPB41L2,SPAST,O43491,Q9UBP0,0.77106499671936,0.694820702075958,0.897768199443817,0.9571267366409301
ABI2,SPAST,Q9NYB9,Q9UBP0,0.77106499671936,0.694820702075958,0.8679878115653991,0.768240332603454
EPB41L3,SPAST,Q9Y2J2,Q9UBP0,0.77106499671936,0.694820702075958,0.8376559019088741,0.8468633890151971
ARFIP2,SPAST,P53365,Q9UBP0,0.77106499671936,0.694820702075958,0.273810505867004,0.8479234576225281
SEPTIN6,SPAST,Q14141,Q9UBP0,0.77106499671936,0.694820702075958,0.521467149257659,0.8604022264480591
ZC3H11A,SPAST,O75152,Q9UBP0,0.77106499671936,0.694820702075958,0.8109792470932,0.89901053905487
CXADR,SPAST,P78310,Q9UBP0,0.77106499671936,0.694820702075958,0.661145806312561,0.569099605083465
ADD1,SPAST,P35611,Q9UBP0,0.77106499671936,0.694820702075958,0.8414958119392391,0.892990469932556
ERBIN,SPAST,Q96RT1,Q9UBP0,0.77106499671936,0.694820702075958,0.862290382385253,0.9449130892753601
RUVBL2,SPAST,Q9Y230,Q9UBP0,0.77106499671936,0.694820702075958,0.5095028281211851,0.364178508520126
SSB,SPAST,P05455,Q9UBP0,0.77106499671936,0.694820702075958,0.7526218295097351,0.8608263731002801
FERMT2,SPAST,Q96AC1,Q9UBP0,0.77106499671936,0.694820702075958,0.54044109582901,0.681082785129547
COIL,SPAST,P38432,Q9UBP0,0.77106499671936,0.694820702075958,0.942740082740783,0.876527309417724
STEAP3,SPAST,Q658P3,Q9UBP0,0.77106499671936,0.694820702075958,0.08650641143321901,0.086467266082763
SLC4A7,SPAST,Q9Y6M7,Q9UBP0,0.77106499671936,0.694820702075958,0.626138925552368,0.275566846132278
SEPTIN7,SPAST,Q16181,Q9UBP0,0.77106499671936,0.694820702075958,0.751222431659698,0.8839928507804871
TPD52,SPAST,P55327,Q9UBP0,0.77106499671936,0.694820702075958,0.801212668418884,0.710059821605682
NACA,SPAST,Q13765,Q9UBP0,0.77106499671936,0.694820702075958,0.054367274045944006,0.504813194274902
MYL12A,SPAST,P19105,Q9UBP0,0.77106499671936,0.694820702075958,0.6698166728019711,0.790415048599243
TCOF1,SPAST,Q13428,Q9UBP0,0.77106499671936,0.694820702075958,0.9414838552474971,0.8864967226982111
NASP,SPAST,P49321,Q9UBP0,0.77106499671936,0.694820702075958,0.8812616467475891,0.9365692138671871
NCL,SPAST,P19338,Q9UBP0,0.77106499671936,0.694820702075958,0.9307319521903991,0.9547532796859741
RUVBL1,SPAST,Q9Y265,Q9UBP0,0.77106499671936,0.694820702075958,0.30482253432273804,0.496859163045883
ADD3,SPAST,Q9UEY8,Q9UBP0,0.77106499671936,0.694820702075958,0.72104388475418,0.766959011554718
ZDHHC5,SPAST,Q9C0B5,Q9UBP0,0.77106499671936,0.694820702075958,0.759991824626922,0.7976862192153931
RBBP6,SPAST,Q7Z6E9,Q9UBP0,0.77106499671936,0.694820702075958,0.9128370285034181,0.9011510014533991
STMN1,SPAST,P16949,Q9UBP0,0.77106499671936,0.694820702075958,0.477122604846954,0.7380132079124451
FTSJ1,SPAST,Q9UET6,Q9UBP0,0.77106499671936,0.694820702075958,0.097657866775989,0.30048084259033203
FLNA,SPAST,P21333,Q9UBP0,0.77106499671936,0.694820702075958,0.748573184013366,0.8762679100036621
NECTIN2,SPAST,Q92692,Q9UBP0,0.77106499671936,0.694820702075958,0.47589436173439004,0.227790549397468
AKAP12,SPAST,Q02952,Q9UBP0,0.77106499671936,0.694820702075958,0.908454895019531,0.9288336038589471
MKI67,SPAST,P46013,Q9UBP0,0.77106499671936,0.694820702075958,0.916103363037109,0.937224566936492
RAPH1,SPAST,Q70E73,Q9UBP0,0.77106499671936,0.694820702075958,0.8547667264938351,0.76655626296997
CDC42BPA,SPAST,Q5VT25,Q9UBP0,0.77106499671936,0.694820702075958,0.8425941467285151,0.8773332834243771
GPATCH4,SPAST,Q5T3I0,Q9UBP0,0.77106499671936,0.694820702075958,0.711835443973541,0.7547473311424251
EPB41,SPAST,P11171,Q9UBP0,0.77106499671936,0.694820702075958,0.799695134162902,0.9051154851913451
ANLN,SPAST,Q9NQW6,Q9UBP0,0.77106499671936,0.694820702075958,0.881227672100067,0.8464059829711911
NPM1,SPAST,P06748,Q9UBP0,0.77106499671936,0.694820702075958,0.927858054637908,0.9404169321060181
WASF2,SPAST,Q9Y6W5,Q9UBP0,0.77106499671936,0.694820702075958,0.7569147944450371,0.9144644737243651
BOD1L1,SPAST,Q8NFC6,Q9UBP0,0.77106499671936,0.694820702075958,0.8557215929031371,0.900276482105255
NOS1AP,SPAST,O75052,Q9UBP0,0.77106499671936,0.694820702075958,0.6478945016860961,0.754655182361602
BCR,SPAST,P11274,Q9UBP0,0.77106499671936,0.694820702075958,0.779595255851745,0.786240220069885
ZC3H18,SPAST,Q86VM9,Q9UBP0,0.77106499671936,0.694820702075958,0.911917030811309,0.8909481167793271
SCRIB,SPAST,Q14160,Q9UBP0,0.77106499671936,0.694820702075958,0.7628489136695861,0.835612595081329
RBBP4,SPAST,Q09028,Q9UBP0,0.77106499671936,0.694820702075958,0.22914488613605502,0.44289177656173706
THRAP3,SPAST,Q9Y2W1,Q9UBP0,0.77106499671936,0.694820702075958,0.9341565370559691,0.9023275375366211
JUP,SPAST,P14923,Q9UBP0,0.77106499671936,0.694820702075958,0.398642510175704,0.5219264030456541
EPB41L5,SPAST,Q9HCM4,Q9UBP0,0.77106499671936,0.694820702075958,0.20411467552185,0.8569900393486021
BSG,SPAST,P35613,Q9UBP0,0.77106499671936,0.694820702075958,0.08169115334749201,0.14241808652877802
WDHD1,SPAST,O75717,Q9UBP0,0.77106499671936,0.694820702075958,0.7832458615303041,0.8864896893501281
PCNP,SPAST,Q8WW12,Q9UBP0,0.77106499671936,0.694820702075958,0.9139901995658871,0.9438921213150021
TPD52L2,SPAST,O43399,Q9UBP0,0.77106499671936,0.694820702075958,0.796630859375,0.8662866353988641
DOCK7,SPAST,Q96N67,Q9UBP0,0.77106499671936,0.694820702075958,0.694895446300506,0.79361480474472
NUMB,SPAST,P49757,Q9UBP0,0.77106499671936,0.694820702075958,0.647538244724273,0.707066655158996
SART3,SPAST,Q15020,Q9UBP0,0.77106499671936,0.694820702075958,0.070294067263603,0.633105337619781
RAI14,SPAST,Q9P0K7,Q9UBP0,0.77106499671936,0.694820702075958,0.861865043640136,0.9506319761276241
PPP6R3,SPAST,Q5H9R7,Q9UBP0,0.77106499671936,0.694820702075958,0.145339801907539,0.442849874496459
ACIN1,SPAST,Q9UKV3,Q9UBP0,0.77106499671936,0.694820702075958,0.9040901064872741,0.8478371500968931
APBB1,SPAST,O00213,Q9UBP0,0.77106499671936,0.694820702075958,0.263429999351501,0.44789671897888106
PRKAR2A,SPAST,P13861,Q9UBP0,0.77106499671936,0.694820702075958,0.7812565565109251,0.9186900258064271
MYL6,SPAST,P60660,Q9UBP0,0.77106499671936,0.694820702075958,0.632035076618194,0.7239663600921631
PTPN13,SPAST,Q12923,Q9UBP0,0.77106499671936,0.694820702075958,0.5636107325553891,0.833070933818817
TECR,SPAST,Q9NZ01,Q9UBP0,0.77106499671936,0.694820702075958,0.091588728129863,0.165860056877136
IDH3G,SPAST,P51553,Q9UBP0,0.77106499671936,0.694820702075958,0.07069721072912201,0.07594277709722501
HPF1,SPAST,Q9NWY4,Q9UBP0,0.77106499671936,0.694820702075958,0.06029545143246601,0.5811859369277951
DAP3,SPAST,P51398,Q9UBP0,0.77106499671936,0.694820702075958,0.46670717000961304,0.442288011312484
