Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
TNRC6C,Q9HCJ0,Q9UM82,29395067,SPATA2,0.9321408271789551,0.615372955799102,0.523724853992462,0.582949578762054,0.6413989067077637
TNRC6C,Q9HCJ0,O15061,29395067,SYNM,0.9321408271789551,0.615372955799102,0.858780682086944,0.87831437587738,0.5959597826004028
TNRC6C,Q9HCJ0,Q9UGP4,29395067,LIMD1,0.9321408271789551,0.615372955799102,0.8812453150749201,0.84871768951416,0.5661376118659973
TNRC6C,Q9HCJ0,P53680,29395067,AP2S1,0.9321408271789551,0.615372955799102,0.09744475781917501,0.450831800699234,0.4752947688102722
TNRC6C,Q9HCJ0,Q8IZD4,29395067,DCP1B,0.9321408271789551,0.615372955799102,0.706972122192382,0.6831697821617121,0.7136833071708679
TNRC6C,Q9HCJ0,O43318,29395067,MAP3K7,0.9321408271789551,0.615372955799102,0.779477059841156,0.45936337113380404,0.5057744979858398
TNRC6C,Q9HCJ0,Q4KMZ1,29395067,IQCC,0.9321408271789551,0.615372955799102,0.066085167229175,0.595822632312774,0.1421145349740982
TNRC6C,Q9HCJ0,P15924,29395067,DSP,0.9321408271789551,0.615372955799102,0.909830927848815,0.9332560300827021,0.5767791271209717
TNRC6C,Q9HCJ0,Q9H9A5,29395067,CNOT10,0.9321408271789551,0.615372955799102,0.048076625913381,0.130353718996047,0.6033512353897095
TNRC6C,Q9HCJ0,Q15643,29395067,TRIP11,0.9321408271789551,0.615372955799102,0.311014324426651,0.738289535045623,0.6115552186965942
TNRC6C,Q9HCJ0,O75420,29395067,GIGYF1,0.9321408271789551,0.615372955799102,0.8790502548217771,0.863427340984344,0.6682124733924866
TNRC6C,Q9HCJ0,Q9BVL2,29395067,NUP58,0.9321408271789551,0.615372955799102,0.5920892953872681,0.17066149413585602,0.7045656442642212
TNRC6C,Q9HCJ0,Q6P3W7,29395067,SCYL2,0.9321408271789551,0.615372955799102,0.6688102483749391,0.728242993354797,0.7333890199661255
TNRC6C,Q9HCJ0,Q9UKV8,29395067,AGO2,0.9321408271789551,0.615372955799102,0.125312715768814,0.8902974128723141,0.5493202805519104
TNRC6C,Q9HCJ0,Q2M2Z5,29395067,KIZ,0.9321408271789551,0.615372955799102,0.817925453186035,0.832185626029968,0.41705840826034546
TNRC6C,Q9HCJ0,Q8N5C8,29395067,TAB3,0.9321408271789551,0.615372955799102,0.944413065910339,0.8510497808456421,0.5175420045852661
TNRC6C,Q9HCJ0,Q13362,29395067,PPP2R5C,0.9321408271789551,0.615372955799102,0.058604069054126004,0.30742636322975103,0.5282734036445618
TNRC6C,Q9HCJ0,Q9H3S7,29395067,PTPN23,0.9321408271789551,0.615372955799102,0.6911263465881341,0.923000633716583,0.5824558138847351
TNRC6C,Q9HCJ0,P56945,29395067,BCAR1,0.9321408271789551,0.615372955799102,0.8840838670730591,0.8112551569938661,0.5274695754051208
TNRC6C,Q9HCJ0,O95486,29395067,SEC24A,0.9321408271789551,0.615372955799102,0.64576232433319,0.5352712869644161,0.5956483483314514
TNRC6C,Q9HCJ0,Q15436,29395067,SEC23A,0.9321408271789551,0.615372955799102,0.10833811759948701,0.18651095032691903,0.5806491374969482
TNRC6C,Q9HCJ0,Q5T9S5,29395067,CCDC18,0.9321408271789551,0.615372955799102,0.050406239926815005,0.21238374710083002,0.6971166729927063
TNRC6C,Q9HCJ0,Q15750,29395067,TAB1,0.9321408271789551,0.615372955799102,0.7070764303207391,0.8197949528694151,0.5383792519569397
TNRC6C,Q9HCJ0,Q9C0C2,29395067,TNKS1BP1,0.9321408271789551,0.615372955799102,0.8767286539077751,0.7583819031715391,0.5919756889343262
TNRC6C,Q9HCJ0,Q53EZ4,29395067,CEP55,0.9321408271789551,0.615372955799102,0.7967752218246461,0.740389466285705,0.6599313616752625
TNRC6C,Q9HCJ0,O75175,29395067,CNOT3,0.9321408271789551,0.615372955799102,0.8002820014953611,0.7462113499641411,0.5305651426315308
TNRC6C,Q9HCJ0,A5YKK6,29395067,CNOT1,0.9321408271789551,0.615372955799102,0.16742576658725702,0.152645871043205,0.6900827884674072
TNRC6C,Q9HCJ0,Q14106,29395067,TOB2,0.9321408271789551,0.615372955799102,0.41414183378219604,0.353406816720962,0.5177325010299683
TNRC6C,Q9HCJ0,O94973,29395067,AP2A2,0.9321408271789551,0.615372955799102,0.04880664125084801,0.051706891506910005,0.6559315323829651
TNRC6C,Q9HCJ0,Q9UIV1,29395067,CNOT7,0.9321408271789551,0.615372955799102,0.049496985971927004,0.074488848447799,0.48959842324256897
