,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,CELF1,Q92879,Q9P2P1,29395067,NYNRIN,0.289840072393417,0.365710258483886,0.061168648302555,0.106138050556182,0.4341124594211578
1,CELF1,Q92879,P51398,29395067,DAP3,0.289840072393417,0.365710258483886,0.466707170009613,0.442288011312484,0.5904754400253296
2,CELF1,Q92879,Q86V81,29395067,ALYREF,0.289840072393417,0.365710258483886,0.915384411811828,0.9237602353096,0.7719262838363647
3,CELF1,Q92879,Q3MHD2,29395067,LSM12,0.289840072393417,0.365710258483886,0.170231625437736,0.389593958854675,0.6093736886978149
4,CELF1,Q92879,P82930,29395067,MRPS34,0.289840072393417,0.365710258483886,0.047504432499408,0.297109067440032,0.6183885931968689
5,CELF1,Q92879,Q9NRA8,29395067,EIF4ENIF1,0.289840072393417,0.365710258483886,0.918528199195861,0.8912989497184751,0.5577136278152466
6,CELF1,Q92879,P52272,29395067,HNRNPM,0.289840072393417,0.365710258483886,0.8337320089340211,0.806473612785339,0.7391010522842407
7,CELF1,Q92879,P98175,29395067,RBM10,0.289840072393417,0.365710258483886,0.9387074708938592,0.9432729482650752,0.7028438448905945
8,CELF1,Q92879,Q99873,29395067,PRMT1,0.289840072393417,0.365710258483886,0.087812408804893,0.236959978938102,0.6778601408004761
9,CELF1,Q92879,O95104,29395067,SCAF4,0.289840072393417,0.365710258483886,0.8121811747550961,0.8054254651069641,0.6791278719902039
10,CELF1,Q92879,P11940,29395067,PABPC1,0.289840072393417,0.365710258483886,0.846898555755615,0.945850253105163,0.6739782094955444
11,CELF1,Q92879,Q9BYJ9,29395067,YTHDF1,0.289840072393417,0.365710258483886,0.8564839363098141,0.6895709037780761,0.595144510269165
12,CELF1,Q92879,Q01081,29395067,U2AF1,0.289840072393417,0.365710258483886,0.859735310077667,0.907655537128448,0.6464366912841797
13,CELF1,Q92879,P22626,29395067,HNRNPA2B1,0.289840072393417,0.365710258483886,0.9508429765701292,0.9583996534347532,0.7664307355880737
14,CELF1,Q92879,Q92900,29395067,UPF1,0.289840072393417,0.365710258483886,0.747238278388977,0.7646963596343991,0.7599337100982666
15,CELF1,Q92879,O43390,29395067,HNRNPR,0.289840072393417,0.365710258483886,0.94803649187088,0.922120869159698,0.7660868763923645
