Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
HDLBP,SQSTM1,Q00341,Q13501,0.7442160844802851,0.9381130337715141,0.527656733989715,0.88329392671585
RPS9,SQSTM1,P46781,Q13501,0.7442160844802851,0.9381130337715141,0.8286309242248531,0.825777411460876
EHD1,SQSTM1,Q9H4M9,Q13501,0.7442160844802851,0.9381130337715141,0.131619557738304,0.8572870492935181
YTHDF3,SQSTM1,Q7Z739,Q13501,0.7442160844802851,0.9381130337715141,0.9342164993286131,0.743057370185852
YTHDF1,SQSTM1,Q9BYJ9,Q13501,0.7442160844802851,0.9381130337715141,0.8564839363098141,0.6895709037780761
NOSIP,SQSTM1,Q9Y314,Q13501,0.7442160844802851,0.9381130337715141,0.745157957077026,0.8713225126266481
APBB1,SQSTM1,O00213,Q13501,0.7442160844802851,0.9381130337715141,0.263429999351501,0.44789671897888106
DCAF13,SQSTM1,Q9NV06,Q13501,0.7442160844802851,0.9381130337715141,0.068784199655056,0.25040668249130205
EIF2B4,SQSTM1,Q9UI10,Q13501,0.7442160844802851,0.9381130337715141,0.269327133893966,0.254746913909912
KHSRP,SQSTM1,Q92945,Q13501,0.7442160844802851,0.9381130337715141,0.9505808949470521,0.8972858190536491
ALMS1,SQSTM1,Q8TCU4,Q13501,0.7442160844802851,0.9381130337715141,0.261659920215606,0.5576434135437011
HNRNPDL,SQSTM1,O14979,Q13501,0.7442160844802851,0.9381130337715141,0.944182753562927,0.8330107927322381
SLIRP,SQSTM1,Q9GZT3,Q13501,0.7442160844802851,0.9381130337715141,0.23317928612232203,0.21756759285926802
RPS24,SQSTM1,P62847,Q13501,0.7442160844802851,0.9381130337715141,0.7190479040145871,0.688983500003814
EIF5B,SQSTM1,O60841,Q13501,0.7442160844802851,0.9381130337715141,0.706597387790679,0.744186878204345
SPTBN1,SQSTM1,Q01082,Q13501,0.7442160844802851,0.9381130337715141,0.7893882393836971,0.913645565509796
AUTS2,SQSTM1,Q8WXX7,Q13501,0.7442160844802851,0.9381130337715141,0.6866406798362731,0.801532745361328
PRKACB,SQSTM1,P22694,Q13501,0.7442160844802851,0.9381130337715141,0.6079224348068231,0.648397982120513
PRKACA,SQSTM1,P17612,Q13501,0.7442160844802851,0.9381130337715141,0.5497914552688591,0.36009979248046803
CLTC,SQSTM1,Q00610,Q13501,0.7442160844802851,0.9381130337715141,0.676146268844604,0.42692026495933505
PSMD1,SQSTM1,Q99460,Q13501,0.7442160844802851,0.9381130337715141,0.202228635549545,0.215206310153007
RBM15,SQSTM1,Q96T37,Q13501,0.7442160844802851,0.9381130337715141,0.916422665119171,0.9511364102363581
TPM3,SQSTM1,P06753,Q13501,0.7442160844802851,0.9381130337715141,0.45568281412124606,0.5949387550354001
TPM4,SQSTM1,P67936,Q13501,0.7442160844802851,0.9381130337715141,0.619767487049102,0.55419898033142
NDUFA10,SQSTM1,O95299,Q13501,0.7442160844802851,0.9381130337715141,0.072357475757598,0.597100615501403
ZCCHC17,SQSTM1,Q9NP64,Q13501,0.7442160844802851,0.9381130337715141,0.7294653058052061,0.7878805398941041
RPL17,SQSTM1,P18621,Q13501,0.7442160844802851,0.9381130337715141,0.5501275658607481,0.624052643775939
SREK1,SQSTM1,Q8WXA9,Q13501,0.7442160844802851,0.9381130337715141,0.296555787324905,0.8076794743537901
AP2M1,SQSTM1,Q96CW1,Q13501,0.7442160844802851,0.9381130337715141,0.28420495986938404,0.273447036743164
UBE2D2,SQSTM1,P62837,Q13501,0.7442160844802851,0.9381130337715141,0.15803411602973902,0.7277394533157341
UBE2D3,SQSTM1,P61077,Q13501,0.7442160844802851,0.9381130337715141,0.281053751707077,0.7110521197319031
PDLIM3,SQSTM1,Q53GG5,Q13501,0.7442160844802851,0.9381130337715141,0.6357401609420771,0.6848645806312561
DHX29,SQSTM1,Q7Z478,Q13501,0.7442160844802851,0.9381130337715141,0.048336878418922,0.688056528568267
TPD52L2,SQSTM1,O43399,Q13501,0.7442160844802851,0.9381130337715141,0.796630859375,0.8662866353988641
UGP2,SQSTM1,Q16851,Q13501,0.7442160844802851,0.9381130337715141,0.43401280045509305,0.49860352277755704
TARDBP,SQSTM1,Q13148,Q13501,0.7442160844802851,0.9381130337715141,0.948493599891662,0.9541079401969911
LPP,SQSTM1,Q93052,Q13501,0.7442160844802851,0.9381130337715141,0.8870403170585631,0.9027045369148251
BOLA2,SQSTM1,Q9H3K6,Q13501,0.7442160844802851,0.9381130337715141,0.19561418890953003,0.48094201087951605
BOLA2B,SQSTM1,Q9H3K6,Q13501,0.7442160844802851,0.9381130337715141,0.19561418890953003,0.48094201087951605
RBM26,SQSTM1,Q5T8P6,Q13501,0.7442160844802851,0.9381130337715141,0.802100777626037,0.9249763488769531
TJP1,SQSTM1,Q07157,Q13501,0.7442160844802851,0.9381130337715141,0.9402920603752131,0.915646255016326
SLC4A1AP,SQSTM1,Q9BWU0,Q13501,0.7442160844802851,0.9381130337715141,0.6150071620941161,0.827597022056579
ACOT1,SQSTM1,Q86TX2,Q13501,0.7442160844802851,0.9381130337715141,0.049590431153774005,0.326466739177703
ACOT2,SQSTM1,P49753,Q13501,0.7442160844802851,0.9381130337715141,0.045912653207778,0.150217086076736
USP39,SQSTM1,Q53GS9,Q13501,0.7442160844802851,0.9381130337715141,0.053575463593006,0.252580076456069
ARFIP2,SQSTM1,P53365,Q13501,0.7442160844802851,0.9381130337715141,0.273810505867004,0.8479234576225281
EEF1D,SQSTM1,P29692,Q13501,0.7442160844802851,0.9381130337715141,0.824298679828643,0.9590794444084161
MRPL45,SQSTM1,Q9BRJ2,Q13501,0.7442160844802851,0.9381130337715141,0.048800580203533006,0.155108943581581
SPAG9,SQSTM1,O60271,Q13501,0.7442160844802851,0.9381130337715141,0.775467991828918,0.8763272166252131
PSMC6,SQSTM1,P62333,Q13501,0.7442160844802851,0.9381130337715141,0.370336204767227,0.778031110763549
WDR18,SQSTM1,Q9BV38,Q13501,0.7442160844802851,0.9381130337715141,0.062190622091293,0.059124551713466006
VDAC2,SQSTM1,P45880,Q13501,0.7442160844802851,0.9381130337715141,0.565926551818847,0.825998961925506
HNRNPUL1,SQSTM1,Q9BUJ2,Q13501,0.7442160844802851,0.9381130337715141,0.8471181988716121,0.761973857879638
EPB41L3,SQSTM1,Q9Y2J2,Q13501,0.7442160844802851,0.9381130337715141,0.8376559019088741,0.8468633890151971
SNX6,SQSTM1,Q9UNH7,Q13501,0.7442160844802851,0.9381130337715141,0.212040156126022,0.516595721244812
NAV1,SQSTM1,Q8NEY1,Q13501,0.7442160844802851,0.9381130337715141,0.800334274768829,0.7247180938720701
PCMT1,SQSTM1,P22061,Q13501,0.7442160844802851,0.9381130337715141,0.064367167651653,0.107295557856559
MYO6,SQSTM1,Q9UM54,Q13501,0.7442160844802851,0.9381130337715141,0.39598912000656106,0.7868182659149171
NOLC1,SQSTM1,Q14978,Q13501,0.7442160844802851,0.9381130337715141,0.8484116792678831,0.9560447931289671
ABI1,SQSTM1,Q8IZP0,Q13501,0.7442160844802851,0.9381130337715141,0.8879209756851191,0.941683113574981
TNIP1,SQSTM1,Q15025,Q13501,0.7442160844802851,0.9381130337715141,0.6548020839691161,0.889400839805603
IGHG1,SQSTM1,P01857,Q13501,0.7442160844802851,0.9381130337715141,0.32146269083023005,0.5604758858680721
IGHG4,SQSTM1,P01861,Q13501,0.7442160844802851,0.9381130337715141,0.049432136118412004,0.182476848363876
IGHG3,SQSTM1,P01860,Q13501,0.7442160844802851,0.9381130337715141,0.06370551884174301,0.050177801400423
DDX42,SQSTM1,Q86XP3,Q13501,0.7442160844802851,0.9381130337715141,0.923708319664001,0.8876020312309261
TOR1AIP1,SQSTM1,Q5JTV8,Q13501,0.7442160844802851,0.9381130337715141,0.8370233774185181,0.924859046936035
WDR36,SQSTM1,Q8NI36,Q13501,0.7442160844802851,0.9381130337715141,0.045385282486677,0.12070758640766101
ADSL,SQSTM1,P30566,Q13501,0.7442160844802851,0.9381130337715141,0.05655186623334801,0.11327721923589701
PPAN,SQSTM1,Q9NQ55,Q13501,0.7442160844802851,0.9381130337715141,0.05638729408383301,0.615206241607666
CORO7,SQSTM1,P57737,Q13501,0.7442160844802851,0.9381130337715141,0.047617696225643005,0.05658705160021701
HELLS,SQSTM1,Q9NRZ9,Q13501,0.7442160844802851,0.9381130337715141,0.39841544628143305,0.9108760952949521
NAA15,SQSTM1,Q9BXJ9,Q13501,0.7442160844802851,0.9381130337715141,0.053972411900758,0.27681991457939104
SRSF7,SQSTM1,Q16629,Q13501,0.7442160844802851,0.9381130337715141,0.8621246218681331,0.932452797889709
PWP2,SQSTM1,Q15269,Q13501,0.7442160844802851,0.9381130337715141,0.05199364572763401,0.186698824167251
SRCAP,SQSTM1,Q6ZRS2,Q13501,0.7442160844802851,0.9381130337715141,0.38961187005043,0.324371099472045
RPSA,SQSTM1,P08865,Q13501,0.7442160844802851,0.9381130337715141,0.25681129097938504,0.548000216484069
ARL6IP4,SQSTM1,Q66PJ3,Q13501,0.7442160844802851,0.9381130337715141,0.9197942614555351,0.9164460301399231
DDX46,SQSTM1,Q7L014,Q13501,0.7442160844802851,0.9381130337715141,0.8441314697265621,0.8243056535720821
THOC2,SQSTM1,Q8NI27,Q13501,0.7442160844802851,0.9381130337715141,0.661492705345153,0.7382712364196771
CAST,SQSTM1,P20810,Q13501,0.7442160844802851,0.9381130337715141,0.877962589263916,0.870782077312469
CHD4,SQSTM1,Q14839,Q13501,0.7442160844802851,0.9381130337715141,0.7110024690628051,0.915207386016845
NDUFA6,SQSTM1,P56556,Q13501,0.7442160844802851,0.9381130337715141,0.051527477800846,0.613217234611511
DDOST,SQSTM1,P39656,Q13501,0.7442160844802851,0.9381130337715141,0.173403650522232,0.27716657519340504
CUL1,SQSTM1,Q13616,Q13501,0.7442160844802851,0.9381130337715141,0.10184387117624201,0.41862350702285706
CDK11B,SQSTM1,P21127,Q13501,0.7442160844802851,0.9381130337715141,0.810717940330505,0.808312892913818
CDK11A,SQSTM1,Q9UQ88,Q13501,0.7442160844802851,0.9381130337715141,0.79485410451889,0.82257330417633
DDX3X,SQSTM1,O00571,Q13501,0.7442160844802851,0.9381130337715141,0.943722367286682,0.9560965299606321
DDX3Y,SQSTM1,O15523,Q13501,0.7442160844802851,0.9381130337715141,0.945766150951385,0.8991394042968751
SPTAN1,SQSTM1,Q13813,Q13501,0.7442160844802851,0.9381130337715141,0.8188093304634091,0.8384706377983091
ARFGAP2,SQSTM1,Q8N6H7,Q13501,0.7442160844802851,0.9381130337715141,0.845222115516662,0.9366458058357231
PHF6,SQSTM1,Q8IWS0,Q13501,0.7442160844802851,0.9381130337715141,0.8917511105537411,0.958864390850067
DIAPH1,SQSTM1,O60610,Q13501,0.7442160844802851,0.9381130337715141,0.532337069511413,0.554034352302551
HSPA1B,SQSTM1,P0DMV9,Q13501,0.7442160844802851,0.9381130337715141,0.074429459869861,0.16872975230216902
HSPA1A,SQSTM1,P0DMV8,Q13501,0.7442160844802851,0.9381130337715141,0.7300615310668941,0.923791587352752
BRD2,SQSTM1,P25440,Q13501,0.7442160844802851,0.9381130337715141,0.83985835313797,0.9001469612121581
PANK4,SQSTM1,Q9NVE7,Q13501,0.7442160844802851,0.9381130337715141,0.05014868825674,0.373716533184051
PUF60,SQSTM1,Q9UHX1,Q13501,0.7442160844802851,0.9381130337715141,0.355926096439361,0.217116326093673
MATR3,SQSTM1,P43243,Q13501,0.7442160844802851,0.9381130337715141,0.898189544677734,0.9514467120170591
TP53,SQSTM1,P04637,Q13501,0.7442160844802851,0.9381130337715141,0.611152946949005,0.8451592326164241
EIF4G3,SQSTM1,O43432,Q13501,0.7442160844802851,0.9381130337715141,0.598862946033477,0.761226594448089
SCYL2,SQSTM1,Q6P3W7,Q13501,0.7442160844802851,0.9381130337715141,0.6688102483749391,0.728242993354797
CBL,SQSTM1,P22681,Q13501,0.7442160844802851,0.9381130337715141,0.7230030298233031,0.6581424474716181
