,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
10199,CNOT1,CNOT10,A5YKK6,Q9H9A5,0.16742576658725702,0.152645871043205,0.048076625913381,0.130353718996047
10200,CNOT1,CNOT11,A5YKK6,Q9UKZ1,0.16742576658725702,0.152645871043205,0.22426322102546603,0.13013821840286202
10201,CNOT1,CNOT2,A5YKK6,Q9NZN8,0.16742576658725702,0.152645871043205,0.8796504139900201,0.9464982748031611
10202,CNOT1,CNOT3,A5YKK6,O75175,0.16742576658725702,0.152645871043205,0.8002820014953611,0.7462113499641411
10204,CNOT1,CNOT7,A5YKK6,Q9UIV1,0.16742576658725702,0.152645871043205,0.049496985971927004,0.074488848447799
10205,CNOT1,CNOT8,A5YKK6,Q9UFF9,0.16742576658725702,0.152645871043205,0.124943397939205,0.03493395447731
10206,CNOT1,CNOT9,A5YKK6,Q92600,0.16742576658725702,0.152645871043205,0.08026347309350901,0.085335381329059
10356,CNOT1,FAM193A,A5YKK6,P78312,0.16742576658725702,0.152645871043205,0.262545526027679,0.46085977554321206
10357,CNOT1,FAM193B,A5YKK6,Q96PV7,0.16742576658725702,0.152645871043205,0.318145602941513,0.35264891386032104
10397,CNOT1,GPBP1,A5YKK6,Q86WP2,0.16742576658725702,0.152645871043205,0.9238476753234861,0.8661590814590451
10398,CNOT1,GPBP1L1,A5YKK6,Q9HC44,0.16742576658725702,0.152645871043205,0.8472579121589661,0.7460471391677851
10572,CNOT1,MYO1D,A5YKK6,O94832,0.16742576658725702,0.152645871043205,0.423136949539184,0.6698923707008361
10723,CNOT1,PSMD1,A5YKK6,Q99460,0.16742576658725702,0.152645871043205,0.202228635549545,0.215206310153007
10756,CNOT1,RALY,A5YKK6,Q9UKM9,0.16742576658725702,0.152645871043205,0.9132841229438781,0.9478238821029661
11021,CNOT1,TUBB3,A5YKK6,Q13509,0.16742576658725702,0.152645871043205,0.47563034296035706,0.74043333530426
11031,CNOT1,TXNL1,A5YKK6,O43396,0.16742576658725702,0.152645871043205,0.280564069747924,0.82830411195755
