,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
162572,ZC3H7A,AGO1,Q8IWR0,Q9UL18,0.065534330904483,0.528411209583282,0.061913449317216006,0.14257833361625602
162573,ZC3H7A,AGO2,Q8IWR0,Q9UKV8,0.065534330904483,0.528411209583282,0.125312715768814,0.8902974128723141
162574,ZC3H7A,AGO3,Q8IWR0,Q9H9G7,0.065534330904483,0.528411209583282,0.07245331257581701,0.351395457983016
162582,ZC3H7A,ALG13,Q8IWR0,Q9NP73,0.065534330904483,0.528411209583282,0.364426672458648,0.10586695373058301
162587,ZC3H7A,ANKHD1,Q8IWR0,Q8IWZ3,0.065534330904483,0.528411209583282,0.6686410307884211,0.484839290380477
162588,ZC3H7A,ANKRD17,Q8IWR0,O75179,0.065534330904483,0.528411209583282,0.8482596278190611,0.7491549253463741
162626,ZC3H7A,ATXN2,Q8IWR0,Q99700,0.065534330904483,0.528411209583282,0.9192976951599121,0.844794750213623
162657,ZC3H7A,CAPRIN1,Q8IWR0,Q14444,0.065534330904483,0.528411209583282,0.9350892305374141,0.92366886138916
162694,ZC3H7A,CEP85,Q8IWR0,Q6P2H3,0.065534330904483,0.528411209583282,0.686874747276306,0.628072619438171
162708,ZC3H7A,CNOT1,Q8IWR0,A5YKK6,0.065534330904483,0.528411209583282,0.16742576658725702,0.152645871043205
162709,ZC3H7A,CNOT10,Q8IWR0,Q9H9A5,0.065534330904483,0.528411209583282,0.048076625913381,0.130353718996047
162710,ZC3H7A,CNOT11,Q8IWR0,Q9UKZ1,0.065534330904483,0.528411209583282,0.22426322102546603,0.13013821840286202
162711,ZC3H7A,CNOT2,Q8IWR0,Q9NZN8,0.065534330904483,0.528411209583282,0.8796504139900201,0.9464982748031611
162712,ZC3H7A,CNOT3,Q8IWR0,O75175,0.065534330904483,0.528411209583282,0.8002820014953611,0.7462113499641411
162714,ZC3H7A,CNOT6,Q8IWR0,Q9ULM6,0.065534330904483,0.528411209583282,0.04978821426630001,0.08510836213827101
162715,ZC3H7A,CNOT6L,Q8IWR0,Q96LI5,0.065534330904483,0.528411209583282,0.052588243037462006,0.054170239716768
162716,ZC3H7A,CNOT7,Q8IWR0,Q9UIV1,0.065534330904483,0.528411209583282,0.049496985971927004,0.074488848447799
162717,ZC3H7A,CNOT8,Q8IWR0,Q9UFF9,0.065534330904483,0.528411209583282,0.124943397939205,0.03493395447731
162718,ZC3H7A,CNOT9,Q8IWR0,Q92600,0.065534330904483,0.528411209583282,0.08026347309350901,0.085335381329059
