,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,TRIM56,Q9BRZ2,Q86XP1,29395067,DGKH,0.046740718185901,0.297699868679046,0.054966200143098,0.312936604022979,0.2631286084651947
1,TRIM56,Q9BRZ2,P48634,29395067,PRRC2A,0.046740718185901,0.297699868679046,0.920958399772644,0.771147608757019,0.4121848046779632
2,TRIM56,Q9BRZ2,Q8N3C0,29395067,ASCC3,0.046740718185901,0.297699868679046,0.056811094284057,0.253184735774993,0.4562600553035736
3,TRIM56,Q9BRZ2,P42566,29395067,EPS15,0.046740718185901,0.297699868679046,0.8010489344596861,0.71837317943573,0.4018747806549072
4,TRIM56,Q9BRZ2,Q9Y6M1,29395067,IGF2BP2,0.046740718185901,0.297699868679046,0.7169618606567381,0.877931773662567,0.3344848752021789
5,TRIM56,Q9BRZ2,P31948,29395067,STIP1,0.046740718185901,0.297699868679046,0.557109355926513,0.8960386514663691,0.3474617004394531
6,TRIM56,Q9BRZ2,Q5T5Y3,29395067,CAMSAP1,0.046740718185901,0.297699868679046,0.7958456873893731,0.783901572227478,0.4315147995948791
7,TRIM56,Q9BRZ2,Q9NRA8,29395067,EIF4ENIF1,0.046740718185901,0.297699868679046,0.918528199195861,0.8912989497184751,0.4059071540832519
8,TRIM56,Q9BRZ2,Q9BW92,29395067,TARS2,0.046740718185901,0.297699868679046,0.051061026751995,0.052311293780803,0.0515427514910697
9,TRIM56,Q9BRZ2,O60884,29395067,DNAJA2,0.046740718185901,0.297699868679046,0.18818025290966,0.698748648166656,0.2955805361270904
10,TRIM56,Q9BRZ2,O95801,29395067,TTC4,0.046740718185901,0.297699868679046,0.061861533671617,0.551879048347473,0.3641576766967773
11,TRIM56,Q9BRZ2,Q92900,29395067,UPF1,0.046740718185901,0.297699868679046,0.747238278388977,0.7646963596343991,0.482281744480133
12,TRIM56,Q9BRZ2,Q15650,29395067,TRIP4,0.046740718185901,0.297699868679046,0.313726812601089,0.8041995167732231,0.6338708996772766
13,TRIM56,Q9BRZ2,Q9HCE1,29395067,MOV10,0.046740718185901,0.297699868679046,0.096921250224113,0.313997954130172,0.4992395341396332
14,TRIM56,Q9BRZ2,Q06787,29395067,FMR1,0.046740718185901,0.297699868679046,0.5003023147583,0.914202570915222,0.2588736414909363
15,TRIM56,Q9BRZ2,Q96I24,29395067,FUBP3,0.046740718185901,0.297699868679046,0.927373111248016,0.896067440509796,0.4122735857963562
16,TRIM56,Q9BRZ2,Q01804,29395067,OTUD4,0.046740718185901,0.297699868679046,0.7899363040924071,0.5325272679328911,0.3989173471927643
17,TRIM56,Q9BRZ2,O75113,29395067,N4BP1,0.046740718185901,0.297699868679046,0.588825523853302,0.855482101440429,0.3640270829200744
18,TRIM56,Q9BRZ2,O15037,29395067,KHNYN,0.046740718185901,0.297699868679046,0.600474894046783,0.651879549026489,0.1472814977169037
19,TRIM56,Q9BRZ2,Q9Y5A9,29395067,YTHDF2,0.046740718185901,0.297699868679046,0.942174553871154,0.9018615484237672,0.3858471810817718
20,TRIM56,Q9BRZ2,O75153,29395067,CLUH,0.046740718185901,0.297699868679046,0.056396357715129,0.185147255659103,0.3000679612159729
21,TRIM56,Q9BRZ2,Q9H1I8,29395067,ASCC2,0.046740718185901,0.297699868679046,0.055656693875789,0.414194971323013,0.4254787862300873
22,TRIM56,Q9BRZ2,Q9H7E2,29395067,TDRD3,0.046740718185901,0.297699868679046,0.8975397944450371,0.883250415325164,0.4397130906581878
23,TRIM56,Q9BRZ2,Q15032,29395067,R3HDM1,0.046740718185901,0.297699868679046,0.9339957237243652,0.8198994398117061,0.3785328865051269
24,TRIM56,Q9BRZ2,Q8IVD9,29395067,NUDCD3,0.046740718185901,0.297699868679046,0.053778309375047,0.7358319163322441,0.2752314209938049
25,TRIM56,Q9BRZ2,Q659C4,29395067,LARP1B,0.046740718185901,0.297699868679046,0.902065575122833,0.8965162038803101,0.3932707905769348
26,TRIM56,Q9BRZ2,Q8N9N2,29395067,ASCC1,0.046740718185901,0.297699868679046,0.063931301236152,0.206371545791625,0.3552835583686828
27,TRIM56,Q9BRZ2,Q99700,29395067,ATXN2,0.046740718185901,0.297699868679046,0.919297695159912,0.844794750213623,0.4100625514984131
28,TRIM56,Q9BRZ2,P49189,29395067,ALDH9A1,0.046740718185901,0.297699868679046,0.06035516411066,0.039362244307994,0.1699803620576858
29,TRIM56,Q9BRZ2,Q9UN86,29395067,G3BP2,0.046740718185901,0.297699868679046,0.827478051185607,0.90367841720581,0.2991499900817871
30,TRIM56,Q9BRZ2,Q9NZB2,29395067,FAM120A,0.046740718185901,0.297699868679046,0.8501178622245781,0.8586925268173211,0.4498271346092224
31,TRIM56,Q9BRZ2,O95985,29395067,TOP3B,0.046740718185901,0.297699868679046,0.050743639469146,0.062615826725959,0.31452077627182
32,TRIM56,Q9BRZ2,O15084,29395067,ANKRD28,0.046740718185901,0.297699868679046,0.046481158584356,0.118532933294773,0.4236499369144439
33,TRIM56,Q9BRZ2,Q9NX05,29395067,FAM120C,0.046740718185901,0.297699868679046,0.231581360101699,0.102664865553379,0.3687922656536102
34,TRIM56,Q9BRZ2,Q9UKV8,29395067,AGO2,0.046740718185901,0.297699868679046,0.125312715768814,0.8902974128723141,0.2719168663024902
35,TRIM56,Q9BRZ2,Q8ND56,29395067,LSM14A,0.046740718185901,0.297699868679046,0.931010067462921,0.93739902973175,0.3706719279289245
36,TRIM56,Q9BRZ2,P31689,29395067,DNAJA1,0.046740718185901,0.297699868679046,0.8359858393669121,0.9187051653862,0.3662146329879761
37,TRIM56,Q9BRZ2,Q8WVJ2,29395067,NUDCD2,0.046740718185901,0.297699868679046,0.516523420810699,0.6068707108497621,0.2392658740282058
38,TRIM56,Q9BRZ2,Q9NUD5,29395067,ZCCHC3,0.046740718185901,0.297699868679046,0.111842513084411,0.501195549964904,0.5077917575836182
39,TRIM56,Q9BRZ2,Q9Y4F3,29395067,MARF1,0.046740718185901,0.297699868679046,0.109177075326442,0.290735512971878,0.2901066541671753
40,TRIM56,Q9BRZ2,Q9NP73,29395067,ALG13,0.046740718185901,0.297699868679046,0.364426672458648,0.105866953730583,0.388505756855011
41,TRIM56,Q9BRZ2,Q02790,29395067,FKBP4,0.046740718185901,0.297699868679046,0.770568668842315,0.9029511213302612,0.0729516893625259
42,TRIM56,Q9BRZ2,Q9Y520,29395067,PRRC2C,0.046740718185901,0.297699868679046,0.9226905703544612,0.859529852867126,0.4610546231269836
43,TRIM56,Q9BRZ2,Q9Y2Z0,29395067,SUGT1,0.046740718185901,0.297699868679046,0.694065928459167,0.453869879245758,0.357032299041748
44,TRIM56,Q9BRZ2,O00178,29395067,GTPBP1,0.046740718185901,0.297699868679046,0.713772177696228,0.446460396051406,0.3702532649040222
45,TRIM56,Q9BRZ2,Q12800,29395067,TFCP2,0.046740718185901,0.297699868679046,0.156916409730911,0.302303969860076,0.3558469116687774
46,TRIM56,Q9BRZ2,Q6P158,29395067,DHX57,0.046740718185901,0.297699868679046,0.300066977739334,0.460885345935821,0.3345654904842376
