Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
ESYT1,ESYT2,Q9BSJ8,A0FGR8,0.42114847898483204,0.7099205255508421,0.6062819361686701,0.431197941303253
TMPO,ESYT2,P42166,A0FGR8,0.42114847898483204,0.7099205255508421,0.7278803586959831,0.7248176336288451
LBR,ESYT2,Q14739,A0FGR8,0.42114847898483204,0.7099205255508421,0.418950408697128,0.33437868952751104
TUBB3,ESYT2,Q13509,A0FGR8,0.42114847898483204,0.7099205255508421,0.47563034296035706,0.74043333530426
RPS2,ESYT2,P15880,A0FGR8,0.42114847898483204,0.7099205255508421,0.7288851141929621,0.800292313098907
RPL23,ESYT2,P62829,A0FGR8,0.42114847898483204,0.7099205255508421,0.517028212547302,0.44695058465003906
PGRMC2,ESYT2,O15173,A0FGR8,0.42114847898483204,0.7099205255508421,0.814205944538116,0.709719538688659
EMD,ESYT2,P50402,A0FGR8,0.42114847898483204,0.7099205255508421,0.620254874229431,0.8601573109626771
YKT6,ESYT2,O15498,A0FGR8,0.42114847898483204,0.7099205255508421,0.08679728209972301,0.21503761410713101
LMAN1,ESYT2,P49257,A0FGR8,0.42114847898483204,0.7099205255508421,0.12342743575572901,0.39322596788406305
EMC1,ESYT2,Q8N766,A0FGR8,0.42114847898483204,0.7099205255508421,0.050630789250135005,0.158397793769836
CCDC47,ESYT2,Q96A33,A0FGR8,0.42114847898483204,0.7099205255508421,0.052098143845796,0.21329167485237102
STIM1,ESYT2,Q13586,A0FGR8,0.42114847898483204,0.7099205255508421,0.837684452533721,0.6984013915061951
LEMD3,ESYT2,Q9Y2U8,A0FGR8,0.42114847898483204,0.7099205255508421,0.8668947219848631,0.708945095539093
CKAP4,ESYT2,Q07065,A0FGR8,0.42114847898483204,0.7099205255508421,0.9462422132492061,0.8865084648132321
JPH1,ESYT2,Q9HDC5,A0FGR8,0.42114847898483204,0.7099205255508421,0.9130024909973141,0.6776907444000241
ALDH3A2,ESYT2,P51648,A0FGR8,0.42114847898483204,0.7099205255508421,0.054093427956104,0.06557263433933201
PTPN1,ESYT2,P18031,A0FGR8,0.42114847898483204,0.7099205255508421,0.6258218884468071,0.8992473483085631
OSBPL8,ESYT2,Q9BZF1,A0FGR8,0.42114847898483204,0.7099205255508421,0.8759111166000361,0.729255437850952
TOR1AIP1,ESYT2,Q5JTV8,A0FGR8,0.42114847898483204,0.7099205255508421,0.8370233774185181,0.924859046936035
EPHA2,ESYT2,P29317,A0FGR8,0.42114847898483204,0.7099205255508421,0.48222407698631203,0.455854594707489
TRIM13,ESYT2,O60858,A0FGR8,0.42114847898483204,0.7099205255508421,0.049416407942771,0.18785795569419803
VAPA,ESYT2,Q9P0L0,A0FGR8,0.42114847898483204,0.7099205255508421,0.50729352235794,0.8786071538925171
SMPD4,ESYT2,Q9NXE4,A0FGR8,0.42114847898483204,0.7099205255508421,0.053155649453401004,0.038148839026689
CLCC1,ESYT2,Q96S66,A0FGR8,0.42114847898483204,0.7099205255508421,0.543007373809814,0.814840912818908
DDX54,ESYT2,Q8TDD1,A0FGR8,0.42114847898483204,0.7099205255508421,0.796063542366027,0.860306739807128
SRPRA,ESYT2,P08240,A0FGR8,0.42114847898483204,0.7099205255508421,0.514172971248626,0.5844155550003051
EMC3,ESYT2,Q9P0I2,A0FGR8,0.42114847898483204,0.7099205255508421,0.05691560357809,0.05525676161050701
VAPB,ESYT2,O95292,A0FGR8,0.42114847898483204,0.7099205255508421,0.580545842647552,0.9506982564926141
CAMLG,ESYT2,P49069,A0FGR8,0.42114847898483204,0.7099205255508421,0.37058201432228005,0.524410188198089
VRK2,ESYT2,Q86Y07,A0FGR8,0.42114847898483204,0.7099205255508421,0.054351262748241,0.39653778076171803
PDZD8,ESYT2,Q8NEN9,A0FGR8,0.42114847898483204,0.7099205255508421,0.08954462409019401,0.576348662376403
NDC1,ESYT2,Q9BTX1,A0FGR8,0.42114847898483204,0.7099205255508421,0.295504331588745,0.262205779552459
DDRGK1,ESYT2,Q96HY6,A0FGR8,0.42114847898483204,0.7099205255508421,0.5970907211303711,0.80882728099823
EMC2,ESYT2,Q15006,A0FGR8,0.42114847898483204,0.7099205255508421,0.066381491720676,0.162632942199707
ANKLE2,ESYT2,Q86XL3,A0FGR8,0.42114847898483204,0.7099205255508421,0.759124457836151,0.899663090705871
VANGL1,ESYT2,Q8TAA9,A0FGR8,0.42114847898483204,0.7099205255508421,0.379739463329315,0.210851937532424
EMC7,ESYT2,Q9NPA0,A0FGR8,0.42114847898483204,0.7099205255508421,0.23637187480926503,0.10812696069478901
GPR89A,ESYT2,B7ZAQ6,A0FGR8,0.42114847898483204,0.7099205255508421,0.107326067984104,0.043274395167827
ERLIN2,ESYT2,O94905,A0FGR8,0.42114847898483204,0.7099205255508421,0.05785594508051801,0.087375305593013
STIM2,ESYT2,Q9P246,A0FGR8,0.42114847898483204,0.7099205255508421,0.8276318311691281,0.6501111388206481
LSG1,ESYT2,Q9H089,A0FGR8,0.42114847898483204,0.7099205255508421,0.245114833116531,0.864392757415771
TMEM209,ESYT2,Q96SK2,A0FGR8,0.42114847898483204,0.7099205255508421,0.8230961561203001,0.621686935424804
ATP6AP1,ESYT2,Q15904,A0FGR8,0.42114847898483204,0.7099205255508421,0.05351551622152301,0.030472194775938002
