,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,ESYT2,A0FGR8,Q8TDD1,37931956,DDX54,0.421148478984832,0.7099205255508421,0.796063542366027,0.860306739807128,0.5558830499649048
1,ESYT2,A0FGR8,Q8N4V1,37931956,MMGT1,0.421148478984832,0.7099205255508421,0.18463097512722,0.179453149437904,0.574305534362793
2,ESYT2,A0FGR8,Q9HBM0,37931956,VEZT,0.421148478984832,0.7099205255508421,0.055294245481491,0.157996088266372,0.497284471988678
3,ESYT2,A0FGR8,Q8N5K1,37931956,CISD2,0.421148478984832,0.7099205255508421,0.05434913188219,0.157862707972526,0.4729836583137512
4,ESYT2,A0FGR8,Q969S3,37931956,ZNF622,0.421148478984832,0.7099205255508421,0.628869473934173,0.802281558513641,0.4183776974678039
5,ESYT2,A0FGR8,P16435,37931956,POR,0.421148478984832,0.7099205255508421,0.072666205465793,0.483068078756332,0.6905249357223511
6,ESYT2,A0FGR8,Q14739,37931956,LBR,0.421148478984832,0.7099205255508421,0.418950408697128,0.334378689527511,0.6861998438835144
7,ESYT2,A0FGR8,Q96GC9,37931956,VMP1,0.421148478984832,0.7099205255508421,0.071651443839073,0.029680535197257,0.5803624391555786
8,ESYT2,A0FGR8,P35610,37931956,SOAT1,0.421148478984832,0.7099205255508421,0.081918075680732,0.08621822297573,0.6718890070915222
9,ESYT2,A0FGR8,O60725,37931956,ICMT,0.421148478984832,0.7099205255508421,0.077262870967388,0.028108159080147,0.5075393319129944
10,ESYT2,A0FGR8,O14523,37931956,C2CD2L,0.421148478984832,0.7099205255508421,0.5692646503448481,0.487801164388656,0.5960216522216797
11,ESYT2,A0FGR8,Q15392,37931956,DHCR24,0.421148478984832,0.7099205255508421,0.179614648222923,0.126066535711288,0.6557295918464661
12,ESYT2,A0FGR8,Q9Y4F1,37931956,FARP1,0.421148478984832,0.7099205255508421,0.686863541603088,0.761362671852111,0.5075342655181885
13,ESYT2,A0FGR8,Q96AG4,37931956,LRRC59,0.421148478984832,0.7099205255508421,0.145397394895553,0.554470419883728,0.6720905900001526
14,ESYT2,A0FGR8,P62829,37931956,RPL23,0.421148478984832,0.7099205255508421,0.517028212547302,0.446950584650039,0.5270985960960388
15,ESYT2,A0FGR8,Q9NPA0,37931956,EMC7,0.421148478984832,0.7099205255508421,0.236371874809265,0.108126960694789,0.4983084797859192
16,ESYT2,A0FGR8,Q86XL3,37931956,ANKLE2,0.421148478984832,0.7099205255508421,0.759124457836151,0.899663090705871,0.7843821048736572
17,ESYT2,A0FGR8,Q96NT0,37931956,CCDC115,0.421148478984832,0.7099205255508421,0.051966316998004,0.133010700345039,0.5396608114242554
18,ESYT2,A0FGR8,Q9H6L5,37931956,RETREG1,0.421148478984832,0.7099205255508421,0.172442182898521,0.130276381969451,0.4668749868869781
19,ESYT2,A0FGR8,Q99943,37931956,AGPAT1,0.421148478984832,0.7099205255508421,0.05696353316307,0.035798653960227,0.6215227842330933
