,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
24076,DCP1A,AGO1,Q9NPI6,Q9UL18,0.41658067703247004,0.9291802644729611,0.061913449317216006,0.14257833361625602
24077,DCP1A,AGO2,Q9NPI6,Q9UKV8,0.41658067703247004,0.9291802644729611,0.125312715768814,0.8902974128723141
24078,DCP1A,AGO3,Q9NPI6,Q9H9G7,0.41658067703247004,0.9291802644729611,0.07245331257581701,0.351395457983016
24085,DCP1A,AIFM1,Q9NPI6,O95831,0.41658067703247004,0.9291802644729611,0.6040244698524471,0.545754075050354
24096,DCP1A,ALMS1,Q9NPI6,Q8TCU4,0.41658067703247004,0.9291802644729611,0.261659920215606,0.5576434135437011
24097,DCP1A,ANKHD1,Q9NPI6,Q8IWZ3,0.41658067703247004,0.9291802644729611,0.6686410307884211,0.484839290380477
24153,DCP1A,BRCC3,Q9NPI6,P46736,0.41658067703247004,0.9291802644729611,0.10698602348566001,0.223380133509635
24181,DCP1A,CBL,Q9NPI6,P22681,0.41658067703247004,0.9291802644729611,0.7230030298233031,0.6581424474716181
24210,DCP1A,CEP192,Q9NPI6,Q8TEP8,0.41658067703247004,0.9291802644729611,0.069603644311428,0.137897923588752
24212,DCP1A,CEP55,Q9NPI6,Q53EZ4,0.41658067703247004,0.9291802644729611,0.7967752218246461,0.740389466285705
24213,DCP1A,CEP85,Q9NPI6,Q6P2H3,0.41658067703247004,0.9291802644729611,0.686874747276306,0.628072619438171
24236,DCP1A,CNOT1,Q9NPI6,A5YKK6,0.41658067703247004,0.9291802644729611,0.16742576658725702,0.152645871043205
24240,DCP1A,CNOT3,Q9NPI6,O75175,0.41658067703247004,0.9291802644729611,0.8002820014953611,0.7462113499641411
24243,DCP1A,CNP,Q9NPI6,P09543,0.41658067703247004,0.9291802644729611,0.7107940912246701,0.884762287139892
24244,DCP1A,CNTROB,Q9NPI6,Q8N137,0.41658067703247004,0.9291802644729611,0.052459836006164,0.06312469393014901
