,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
36974,EIF4ENIF1,AGO1,Q9NRA8,Q9UL18,0.918528199195861,0.8912989497184751,0.061913449317216006,0.14257833361625602
36975,EIF4ENIF1,AGO2,Q9NRA8,Q9UKV8,0.918528199195861,0.8912989497184751,0.125312715768814,0.8902974128723141
36976,EIF4ENIF1,AGO3,Q9NRA8,Q9H9G7,0.918528199195861,0.8912989497184751,0.07245331257581701,0.351395457983016
36987,EIF4ENIF1,ALG13,Q9NRA8,Q9NP73,0.918528199195861,0.8912989497184751,0.364426672458648,0.10586695373058301
36991,EIF4ENIF1,ANKHD1,Q9NRA8,Q8IWZ3,0.918528199195861,0.8912989497184751,0.6686410307884211,0.484839290380477
37032,EIF4ENIF1,ATXN2,Q9NRA8,Q99700,0.918528199195861,0.8912989497184751,0.9192976951599121,0.844794750213623
37040,EIF4ENIF1,BICC1,Q9NRA8,Q9H694,0.918528199195861,0.8912989497184751,0.070358172059059,0.29048463702201804
37088,EIF4ENIF1,CELF1,Q9NRA8,Q92879,0.918528199195861,0.8912989497184751,0.289840072393417,0.36571025848388605
37089,EIF4ENIF1,CELF2,Q9NRA8,O95319,0.918528199195861,0.8912989497184751,0.6175681352615351,0.626740992069244
37092,EIF4ENIF1,CEP192,Q9NRA8,Q8TEP8,0.918528199195861,0.8912989497184751,0.069603644311428,0.137897923588752
37096,EIF4ENIF1,CEP85,Q9NRA8,Q6P2H3,0.918528199195861,0.8912989497184751,0.686874747276306,0.628072619438171
37112,EIF4ENIF1,CNOT1,Q9NRA8,A5YKK6,0.918528199195861,0.8912989497184751,0.16742576658725702,0.152645871043205
37113,EIF4ENIF1,CNOT10,Q9NRA8,Q9H9A5,0.918528199195861,0.8912989497184751,0.048076625913381,0.130353718996047
37115,EIF4ENIF1,CNOT2,Q9NRA8,Q9NZN8,0.918528199195861,0.8912989497184751,0.8796504139900201,0.9464982748031611
37116,EIF4ENIF1,CNOT3,Q9NRA8,O75175,0.918528199195861,0.8912989497184751,0.8002820014953611,0.7462113499641411
37117,EIF4ENIF1,CNOT4,Q9NRA8,O95628,0.918528199195861,0.8912989497184751,0.81230479478836,0.8261866569519041
37120,EIF4ENIF1,CNOT7,Q9NRA8,Q9UIV1,0.918528199195861,0.8912989497184751,0.049496985971927004,0.074488848447799
37122,EIF4ENIF1,CNOT9,Q9NRA8,Q92600,0.918528199195861,0.8912989497184751,0.08026347309350901,0.085335381329059
37123,EIF4ENIF1,CNTROB,Q9NRA8,Q8N137,0.918528199195861,0.8912989497184751,0.052459836006164,0.06312469393014901
37133,EIF4ENIF1,CPEB4,Q9NRA8,Q17RY0,0.918528199195861,0.8912989497184751,0.7140009999275201,0.7536411285400391
37163,EIF4ENIF1,DCP1B,Q9NRA8,Q8IZD4,0.918528199195861,0.8912989497184751,0.706972122192382,0.6831697821617121
37183,EIF4ENIF1,DDX6,Q9NRA8,P26196,0.918528199195861,0.8912989497184751,0.7578027248382561,0.9421802759170531
37197,EIF4ENIF1,DNAJA2,Q9NRA8,O60884,0.918528199195861,0.8912989497184751,0.18818025290966,0.698748648166656
37220,EIF4ENIF1,EDC3,Q9NRA8,Q96F86,0.918528199195861,0.8912989497184751,0.6413281559944151,0.819340884685516
37228,EIF4ENIF1,EIF2D,Q9NRA8,P41214,0.918528199195861,0.8912989497184751,0.054079849272966,0.040280405431985
37246,EIF4ENIF1,EIF4E,Q9NRA8,P06730,0.918528199195861,0.8912989497184751,0.6839362382888791,0.718624532222747
37296,EIF4ENIF1,FUBP3,Q9NRA8,Q96I24,0.918528199195861,0.8912989497184751,0.927373111248016,0.896067440509796
37309,EIF4ENIF1,GIGYF1,Q9NRA8,O75420,0.918528199195861,0.8912989497184751,0.8790502548217771,0.863427340984344
37325,EIF4ENIF1,GTPBP1,Q9NRA8,O00178,0.918528199195861,0.8912989497184751,0.713772177696228,0.446460396051406
37342,EIF4ENIF1,HELZ,Q9NRA8,P42694,0.918528199195861,0.8912989497184751,0.8446741104125971,0.836807429790496
37389,EIF4ENIF1,IBTK,Q9NRA8,Q9P2D0,0.918528199195861,0.8912989497184751,0.135052159428596,0.5361476540565491
37393,EIF4ENIF1,IGF2BP2,Q9NRA8,Q9Y6M1,0.918528199195861,0.8912989497184751,0.7169618606567381,0.877931773662567
37451,EIF4ENIF1,LSM1,Q9NRA8,O15116,0.918528199195861,0.8912989497184751,0.060449838638305005,0.30547326803207403
37453,EIF4ENIF1,LSM14A,Q9NRA8,Q8ND56,0.918528199195861,0.8912989497184751,0.931010067462921,0.93739902973175
37454,EIF4ENIF1,LSM14B,Q9NRA8,Q9BX40,0.918528199195861,0.8912989497184751,0.9151313900947571,0.9035645723342891
37471,EIF4ENIF1,MARF1,Q9NRA8,Q9Y4F3,0.918528199195861,0.8912989497184751,0.10917707532644201,0.290735512971878
37489,EIF4ENIF1,MEX3A,Q9NRA8,A1L020,0.918528199195861,0.8912989497184751,0.23238852620124803,0.26905071735382
37490,EIF4ENIF1,MEX3D,Q9NRA8,Q86XN8,0.918528199195861,0.8912989497184751,0.48268166184425304,0.17888946831226302
