,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,DDX19B,Q9UMR2,P04259,29395067,KRT6B,0.074681155383586,0.495475143194198,0.90202921628952,0.954854786396026,0.2476192712783813
1,DDX19B,Q9UMR2,Q8N157,29395067,AHI1,0.074681155383586,0.495475143194198,0.050214879214763,0.195482403039932,0.281898558139801
2,DDX19B,Q9UMR2,Q53GS7,29395067,GLE1,0.074681155383586,0.495475143194198,0.050243891775608,0.251061677932739,0.4906527101993561
3,DDX19B,Q9UMR2,P35658,29395067,NUP214,0.074681155383586,0.495475143194198,0.923506557941436,0.671371638774871,0.4317834377288818
4,DDX19B,Q9UMR2,O60725,29395067,ICMT,0.074681155383586,0.495475143194198,0.077262870967388,0.028108159080147,0.4306851029396057
5,DDX19B,Q9UMR2,Q99666,29395067,RGPD6,0.074681155383586,0.495475143194198,0.8862866163253781,0.896793723106384,0.5077652931213379
6,DDX19B,Q9UMR2,Q14694,29395067,USP10,0.074681155383586,0.495475143194198,0.7744724154472351,0.946593940258026,0.3286243081092834
7,DDX19B,Q9UMR2,Q9Y6U3,29395067,SCIN,0.074681155383586,0.495475143194198,0.058488357812166,0.544046998023986,0.4302093386650085
8,DDX19B,Q9UMR2,P62244,29395067,RPS15A,0.074681155383586,0.495475143194198,0.188256114721298,0.258743494749069,0.3512967824935913
9,DDX19B,Q9UMR2,Q9H7E2,29395067,TDRD3,0.074681155383586,0.495475143194198,0.8975397944450371,0.883250415325164,0.377951055765152
10,DDX19B,Q9UMR2,Q659C4,29395067,LARP1B,0.074681155383586,0.495475143194198,0.902065575122833,0.8965162038803101,0.3219920694828033
11,DDX19B,Q9UMR2,Q7Z3B4,29395067,NUP54,0.074681155383586,0.495475143194198,0.700649261474609,0.7247763872146601,0.3783432245254516
12,DDX19B,Q9UMR2,Q9NZB2,29395067,FAM120A,0.074681155383586,0.495475143194198,0.8501178622245781,0.8586925268173211,0.5185696482658386
13,DDX19B,Q9UMR2,P62495,29395067,ETF1,0.074681155383586,0.495475143194198,0.096267774701118,0.571524500846862,0.3255936801433563
14,DDX19B,Q9UMR2,P37198,29395067,NUP62,0.074681155383586,0.495475143194198,0.676063656806945,0.230689316987991,0.4435920119285583
15,DDX19B,Q9UMR2,P08779,29395067,KRT16,0.074681155383586,0.495475143194198,0.915060341358184,0.9524758458137512,0.3649077713489532
16,DDX19B,Q9UMR2,Q99567,29395067,NUP88,0.074681155383586,0.495475143194198,0.212417691946029,0.261054426431655,0.4204204976558685
17,DDX19B,Q9UMR2,O95985,29395067,TOP3B,0.074681155383586,0.495475143194198,0.050743639469146,0.062615826725959,0.4225911200046539
18,DDX19B,Q9UMR2,Q8NEB9,29395067,PIK3C3,0.074681155383586,0.495475143194198,0.273817420005798,0.777728915214538,0.475188672542572
19,DDX19B,Q9UMR2,Q8N6H7,29395067,ARFGAP2,0.074681155383586,0.495475143194198,0.845222115516662,0.9366458058357232,0.5034738779067993
20,DDX19B,Q9UMR2,P35908,29395067,KRT2,0.074681155383586,0.495475143194198,0.928291201591491,0.9001879692077631,0.1411556154489517
21,DDX19B,Q9UMR2,P02533,29395067,KRT14,0.074681155383586,0.495475143194198,0.912277996540069,0.9481946229934692,0.2418397963047027
22,DDX19B,Q9UMR2,P13647,29395067,KRT5,0.074681155383586,0.495475143194198,0.8957449197769161,0.953209280967712,0.0404958128929138
23,DDX19B,Q9UMR2,P24390,29395067,KDELR1,0.074681155383586,0.495475143194198,0.057168949395418,0.043153595179319,0.3090920746326446
24,DDX19B,Q9UMR2,Q9H074,29395067,PAIP1,0.074681155383586,0.495475143194198,0.605273842811584,0.5891982316970821,0.291861742734909
25,DDX19B,Q9UMR2,Q8NHU6,29395067,TDRD7,0.074681155383586,0.495475143194198,0.073083817958831,0.256961673498153,0.2600460648536682
