Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
PCCA,EGFR,P05165,P00533,0.7521615028381341,0.8662506341934201,0.075603663921356,0.35501152276992803
ACTN4,EGFR,O43707,P00533,0.7521615028381341,0.8662506341934201,0.8169784545898431,0.9432820081710811
EGFR,EGFR,P00533,P00533,0.7521615028381341,0.8662506341934201,0.7521615028381341,0.8662506341934201
AKAP12,EGFR,Q02952,P00533,0.7521615028381341,0.8662506341934201,0.908454895019531,0.9288336038589471
EZR,EGFR,P15311,P00533,0.7521615028381341,0.8662506341934201,0.776268780231475,0.9141066670417781
ACACA,EGFR,Q13085,P00533,0.7521615028381341,0.8662506341934201,0.292677074670791,0.486463487148284
AHNAK,EGFR,Q09666,P00533,0.7521615028381341,0.8662506341934201,0.882196128368377,0.946096897125244
CLTC,EGFR,Q00610,P00533,0.7521615028381341,0.8662506341934201,0.676146268844604,0.42692026495933505
HSP90B1,EGFR,P14625,P00533,0.7521615028381341,0.8662506341934201,0.84064757823944,0.8777219653129571
CTTN,EGFR,Q14247,P00533,0.7521615028381341,0.8662506341934201,0.8998081088066101,0.946021676063537
PLEC,EGFR,Q15149,P00533,0.7521615028381341,0.8662506341934201,0.8916857838630671,0.9012457132339471
PDCD6IP,EGFR,Q8WUM4,P00533,0.7521615028381341,0.8662506341934201,0.922251105308532,0.846085548400878
ACTA2,EGFR,P62736,P00533,0.7521615028381341,0.8662506341934201,0.474418699741363,0.585259795188903
TJP1,EGFR,Q07157,P00533,0.7521615028381341,0.8662506341934201,0.9402920603752131,0.915646255016326
ANXA2,EGFR,P07355,P00533,0.7521615028381341,0.8662506341934201,0.727081179618835,0.834344506263732
HSP90AA1,EGFR,P07900,P00533,0.7521615028381341,0.8662506341934201,0.8365033864974971,0.936855137348175
MAP4,EGFR,P27816,P00533,0.7521615028381341,0.8662506341934201,0.7518705725669861,0.8798587918281551
FLNB,EGFR,O75369,P00533,0.7521615028381341,0.8662506341934201,0.6030752062797541,0.806015789508819
EPB41L2,EGFR,O43491,P00533,0.7521615028381341,0.8662506341934201,0.897768199443817,0.9571267366409301
CTNND1,EGFR,O60716,P00533,0.7521615028381341,0.8662506341934201,0.869763553142547,0.9520522356033321
LASP1,EGFR,Q14847,P00533,0.7521615028381341,0.8662506341934201,0.8743783235549921,0.9388374090194701
PC,EGFR,P11498,P00533,0.7521615028381341,0.8662506341934201,0.047976527363061,0.348335325717926
HSPA5,EGFR,P11021,P00533,0.7521615028381341,0.8662506341934201,0.8284257054328911,0.9611634016036981
RPL6,EGFR,Q02878,P00533,0.7521615028381341,0.8662506341934201,0.83153086900711,0.8054785728454591
IQGAP1,EGFR,P46940,P00533,0.7521615028381341,0.8662506341934201,0.6749221086502071,0.707932889461517
DSG2,EGFR,Q14126,P00533,0.7521615028381341,0.8662506341934201,0.6336154937744141,0.6835451722145081
CTNNB1,EGFR,P35222,P00533,0.7521615028381341,0.8662506341934201,0.630813956260681,0.6992115378379821
MYH9,EGFR,P35579,P00533,0.7521615028381341,0.8662506341934201,0.749034285545349,0.8638456463813781
FASN,EGFR,P49327,P00533,0.7521615028381341,0.8662506341934201,0.535791456699371,0.47226962447166404
TUBA1B,EGFR,P68363,P00533,0.7521615028381341,0.8662506341934201,0.361786663532257,0.48399886488914406
RPL4,EGFR,P36578,P00533,0.7521615028381341,0.8662506341934201,0.912571728229522,0.9468111991882321
PDIA4,EGFR,P13667,P00533,0.7521615028381341,0.8662506341934201,0.7911778688430781,0.959105491638183
HGS,EGFR,O14964,P00533,0.7521615028381341,0.8662506341934201,0.9234871864318841,0.841227650642395
PTPN23,EGFR,Q9H3S7,P00533,0.7521615028381341,0.8662506341934201,0.6911263465881341,0.923000633716583
SPTBN1,EGFR,Q01082,P00533,0.7521615028381341,0.8662506341934201,0.7893882393836971,0.913645565509796
ACTN1,EGFR,P12814,P00533,0.7521615028381341,0.8662506341934201,0.7187865972518921,0.8129337430000301
DDX46,EGFR,Q7L014,P00533,0.7521615028381341,0.8662506341934201,0.8441314697265621,0.8243056535720821
CCT8,EGFR,P50990,P00533,0.7521615028381341,0.8662506341934201,0.5758818387985231,0.26783961057662903
SPTAN1,EGFR,Q13813,P00533,0.7521615028381341,0.8662506341934201,0.8188093304634091,0.8384706377983091
FLNC,EGFR,Q14315,P00533,0.7521615028381341,0.8662506341934201,0.555411696434021,0.667471349239349
FTSJ3,EGFR,Q8IY81,P00533,0.7521615028381341,0.8662506341934201,0.8857842683792111,0.8656794428825371
EPS8,EGFR,Q12929,P00533,0.7521615028381341,0.8662506341934201,0.9162327647209161,0.8317185640335081
ANXA11,EGFR,P50995,P00533,0.7521615028381341,0.8662506341934201,0.94578617811203,0.7565143704414361
ATP1A1,EGFR,P05023,P00533,0.7521615028381341,0.8662506341934201,0.252538591623306,0.304997831583023
ITGB4,EGFR,P16144,P00533,0.7521615028381341,0.8662506341934201,0.646863460540771,0.9445560574531551
VCL,EGFR,P18206,P00533,0.7521615028381341,0.8662506341934201,0.6949307918548581,0.8427553176879881
ATP1A3,EGFR,P13637,P00533,0.7521615028381341,0.8662506341934201,0.069105975329875,0.21703281998634302
TNKS1BP1,EGFR,Q9C0C2,P00533,0.7521615028381341,0.8662506341934201,0.8767286539077751,0.7583819031715391
RPL13,EGFR,P26373,P00533,0.7521615028381341,0.8662506341934201,0.5625842809677121,0.877673268318176
P4HB,EGFR,P07237,P00533,0.7521615028381341,0.8662506341934201,0.6238989233970641,0.944443225860595
