,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,CEP85,Q6P2H3,Q96LI5,29395067,CNOT6L,0.686874747276306,0.628072619438171,0.052588243037462,0.054170239716768,0.4941604137420654
1,CEP85,Q6P2H3,Q8NDV7,29395067,TNRC6A,0.686874747276306,0.628072619438171,0.94635409116745,0.9126369357109072,0.7323920726776123
2,CEP85,Q6P2H3,P0DJD0,29395067,RGPD1,0.686874747276306,0.628072619438171,0.873320698738098,0.889215171337127,0.6810093522071838
3,CEP85,Q6P2H3,Q9NRA8,29395067,EIF4ENIF1,0.686874747276306,0.628072619438171,0.918528199195861,0.8912989497184751,0.67310631275177
4,CEP85,Q6P2H3,Q9HBD1,29395067,RC3H2,0.686874747276306,0.628072619438171,0.380768567323684,0.385693252086639,0.6986423134803772
5,CEP85,Q6P2H3,A6NHL2,29395067,TUBAL3,0.686874747276306,0.628072619438171,0.057194776833057,0.067213878035545,0.1554302424192428
6,CEP85,Q6P2H3,Q9NZN8,29395067,CNOT2,0.686874747276306,0.628072619438171,0.8796504139900201,0.9464982748031612,0.5490292906761169
7,CEP85,Q6P2H3,Q5VT06,29395067,CEP350,0.686874747276306,0.628072619438171,0.858241915702819,0.8765743970870971,0.6826977133750916
8,CEP85,Q6P2H3,Q9P2F8,29395067,SIPA1L2,0.686874747276306,0.628072619438171,0.8288046121597291,0.60322368144989,0.7561057806015015
9,CEP85,Q6P2H3,Q92900,29395067,UPF1,0.686874747276306,0.628072619438171,0.747238278388977,0.7646963596343991,0.6403219699859619
10,CEP85,Q6P2H3,Q9UL18,29395067,AGO1,0.686874747276306,0.628072619438171,0.061913449317216,0.142578333616256,0.4583346843719482
11,CEP85,Q6P2H3,Q96I24,29395067,FUBP3,0.686874747276306,0.628072619438171,0.927373111248016,0.896067440509796,0.5918391346931458
12,CEP85,Q6P2H3,Q9Y5A9,29395067,YTHDF2,0.686874747276306,0.628072619438171,0.942174553871154,0.9018615484237672,0.6509526968002319
13,CEP85,Q6P2H3,O94986,29395067,CEP152,0.686874747276306,0.628072619438171,0.17812380194664,0.54424500465393,0.7353513240814209
14,CEP85,Q6P2H3,Q8TCU4,29395067,ALMS1,0.686874747276306,0.628072619438171,0.261659920215606,0.5576434135437011,0.6544345617294312
15,CEP85,Q6P2H3,Q9BX40,29395067,LSM14B,0.686874747276306,0.628072619438171,0.9151313900947572,0.9035645723342892,0.5532202124595642
16,CEP85,Q6P2H3,Q9H7E2,29395067,TDRD3,0.686874747276306,0.628072619438171,0.8975397944450371,0.883250415325164,0.6359192132949829
17,CEP85,Q6P2H3,Q9C0C2,29395067,TNKS1BP1,0.686874747276306,0.628072619438171,0.8767286539077751,0.7583819031715391,0.548930287361145
18,CEP85,Q6P2H3,Q92600,29395067,CNOT9,0.686874747276306,0.628072619438171,0.080263473093509,0.085335381329059,0.5056769251823425
19,CEP85,Q6P2H3,O95613,29395067,PCNT,0.686874747276306,0.628072619438171,0.281906843185424,0.9304172396659852,0.6589330434799194
20,CEP85,Q6P2H3,Q9UPQ9,29395067,TNRC6B,0.686874747276306,0.628072619438171,0.915812849998474,0.9256454706192012,0.7103281617164612
21,CEP85,Q6P2H3,A7KAX9,29395067,ARHGAP32,0.686874747276306,0.628072619438171,0.8682311177253721,0.7055280804634091,0.6283056735992432
22,CEP85,Q6P2H3,Q5JSZ5,29395067,PRRC2B,0.686874747276306,0.628072619438171,0.912946999073028,0.7642971277236931,0.6431444883346558
23,CEP85,Q6P2H3,O43318,29395067,MAP3K7,0.686874747276306,0.628072619438171,0.779477059841156,0.459363371133804,0.4602112770080566
24,CEP85,Q6P2H3,Q17RY0,29395067,CPEB4,0.686874747276306,0.628072619438171,0.7140009999275201,0.7536411285400391,0.5931451916694641
25,CEP85,Q6P2H3,O75175,29395067,CNOT3,0.686874747276306,0.628072619438171,0.8002820014953611,0.7462113499641411,0.4904197156429291
26,CEP85,Q6P2H3,O15027,29395067,SEC16A,0.686874747276306,0.628072619438171,0.914153099060058,0.8749286532402031,0.6617468595504761
27,CEP85,Q6P2H3,Q8TEP8,29395067,CEP192,0.686874747276306,0.628072619438171,0.069603644311428,0.137897923588752,0.7340711951255798
28,CEP85,Q6P2H3,A5YKK6,29395067,CNOT1,0.686874747276306,0.628072619438171,0.167425766587257,0.152645871043205,0.6446893215179443
