,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
116449,RNGTT,ANKRD11,O60942,Q6UB99,0.060086108744144,0.32551491260528503,0.38875252008438105,0.777840197086334
116461,RNGTT,AQR,O60942,O60306,0.060086108744144,0.32551491260528503,0.06666328012943201,0.139973536133766
116499,RNGTT,BCL11A,O60942,Q9H165,0.060086108744144,0.32551491260528503,0.8737601041793821,0.7756053209304811
116505,RNGTT,BLM,O60942,P54132,0.060086108744144,0.32551491260528503,0.889910817146301,0.714787006378173
116512,RNGTT,BRCA1,O60942,P38398,0.060086108744144,0.32551491260528503,0.8090798258781431,0.709205985069274
116573,RNGTT,CDC73,O60942,Q6P1J9,0.060086108744144,0.32551491260528503,0.11370609700679701,0.5292645096778871
116582,RNGTT,CDK7,O60942,P50613,0.060086108744144,0.32551491260528503,0.223726317286491,0.09913482517004
116613,RNGTT,CMTR1,O60942,Q8N1G2,0.060086108744144,0.32551491260528503,0.47197389602661105,0.8571395874023431
116646,RNGTT,CTR9,O60942,Q6PD62,0.060086108744144,0.32551491260528503,0.9001364707946771,0.9034227132797241
116696,RNGTT,DHX16,O60942,O60231,0.060086108744144,0.32551491260528503,0.056765418499708,0.703187584877014
116700,RNGTT,DHX38,O60942,Q92620,0.060086108744144,0.32551491260528503,0.19670540094375602,0.764453113079071
116840,RNGTT,GPATCH8,O60942,Q9UKJ3,0.060086108744144,0.32551491260528503,0.9227410554885861,0.9309733510017391
116844,RNGTT,GSE1,O60942,Q14687,0.060086108744144,0.32551491260528503,0.7404325604438781,0.8806107640266411
116884,RNGTT,HIVEP1,O60942,P15822,0.060086108744144,0.32551491260528503,0.826698005199432,0.755466997623443
116928,RNGTT,ICE1,O60942,Q9Y2F5,0.060086108744144,0.32551491260528503,0.659795582294464,0.7011587023735041
116941,RNGTT,INTS12,O60942,Q96CB8,0.060086108744144,0.32551491260528503,0.255623430013656,0.400841236114501
116943,RNGTT,INTS3,O60942,Q68E01,0.060086108744144,0.32551491260528503,0.15033057332038802,0.11222467571496901
117004,RNGTT,LEO1,O60942,Q8WVC0,0.060086108744144,0.32551491260528503,0.78676837682724,0.7846104502677911
117030,RNGTT,MBD2,O60942,Q9UBB5,0.060086108744144,0.32551491260528503,0.5664933919906611,0.59124481678009
117094,RNGTT,MYSM1,O60942,Q5VVJ2,0.060086108744144,0.32551491260528503,0.052432604134082,0.631247699260711
117121,RNGTT,NELFA,O60942,Q9H3P2,0.060086108744144,0.32551491260528503,0.66919720172882,0.789710640907287
117123,RNGTT,NELFE,O60942,P18615,0.060086108744144,0.32551491260528503,0.8858264684677121,0.9283844232559201
117125,RNGTT,NFIB,O60942,O00712,0.060086108744144,0.32551491260528503,0.681492686271667,0.8011502027511591
117127,RNGTT,NFRKB,O60942,Q6P4R8,0.060086108744144,0.32551491260528503,0.41714200377464206,0.297662645578384
117141,RNGTT,NOL8,O60942,Q76FK4,0.060086108744144,0.32551491260528503,0.9286092519760131,0.8510907292366021
117145,RNGTT,NOP14,O60942,P78316,0.060086108744144,0.32551491260528503,0.092013910412788,0.532267272472381
117150,RNGTT,NPAT,O60942,Q14207,0.060086108744144,0.32551491260528503,0.270749270915985,0.5391300320625301
117204,RNGTT,PCF11,O60942,O94913,0.060086108744144,0.32551491260528503,0.9469074010848991,0.812957108020782
117238,RNGTT,PHRF1,O60942,Q9P1Y6,0.060086108744144,0.32551491260528503,0.859601199626922,0.80013370513916
117244,RNGTT,PLRG1,O60942,O43660,0.060086108744144,0.32551491260528503,0.06341804563999101,0.590099155902862
