Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
POLH,Pol eta,Q9Y253,O75417,0.057644806802272006,0.19841840863227803,0.10011231899261401,0.06601350009441301
PARP1,Pol eta,P09874,O75417,0.057644806802272006,0.19841840863227803,0.8500396013259881,0.9057420492172241
GTF2I,Pol eta,P78347,O75417,0.057644806802272006,0.19841840863227803,0.799546360969543,0.9078435897827141
DHX15,Pol eta,O43143,O75417,0.057644806802272006,0.19841840863227803,0.5230384469032281,0.49100860953330905
PSME3,Pol eta,P61289,O75417,0.057644806802272006,0.19841840863227803,0.391155660152435,0.766999900341033
SAE1,Pol eta,Q9UBE0,O75417,0.057644806802272006,0.19841840863227803,0.054085887968540004,0.496567726135253
HDGF,Pol eta,P51858,O75417,0.057644806802272006,0.19841840863227803,0.8690991401672361,0.8400915861129761
NFYC,Pol eta,Q13952,O75417,0.057644806802272006,0.19841840863227803,0.813547432422637,0.270152509212493
RPA2,Pol eta,P15927,O75417,0.057644806802272006,0.19841840863227803,0.5286818742752071,0.651308178901672
FTO,Pol eta,Q9C0B1,O75417,0.057644806802272006,0.19841840863227803,0.19469128549098902,0.389739364385604
XRCC6,Pol eta,P12956,O75417,0.057644806802272006,0.19841840863227803,0.8818343281745911,0.9424995183944701
SUPT6H,Pol eta,Q7KZ85,O75417,0.057644806802272006,0.19841840863227803,0.8825498819351191,0.8744732141494751
HNRNPUL1,Pol eta,Q9BUJ2,O75417,0.057644806802272006,0.19841840863227803,0.8471181988716121,0.761973857879638
SFSWAP,Pol eta,Q12872,O75417,0.057644806802272006,0.19841840863227803,0.9042806625366211,0.920645236968994
CPSF6,Pol eta,Q16630,O75417,0.057644806802272006,0.19841840863227803,0.873725235462188,0.908324062824249
NCL,Pol eta,P19338,O75417,0.057644806802272006,0.19841840863227803,0.9307319521903991,0.9547532796859741
SF1,Pol eta,Q15637,O75417,0.057644806802272006,0.19841840863227803,0.909808754920959,0.847805202007293
SRRT,Pol eta,Q9BXP5,O75417,0.057644806802272006,0.19841840863227803,0.9345647692680351,0.903058350086212
SF3B1,Pol eta,O75533,O75417,0.057644806802272006,0.19841840863227803,0.7202434539794921,0.929505825042724
