,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
20365,CSDE1,AGO1,O75534,Q9UL18,0.41829934716224604,0.8530446887016291,0.061913449317216006,0.14257833361625602
20366,CSDE1,AGO2,O75534,Q9UKV8,0.41829934716224604,0.8530446887016291,0.125312715768814,0.8902974128723141
20378,CSDE1,ALG13,O75534,Q9NP73,0.41829934716224604,0.8530446887016291,0.364426672458648,0.10586695373058301
20399,CSDE1,ARFGEF3,O75534,Q5TH69,0.41829934716224604,0.8530446887016291,0.14952236413955602,0.20632258057594302
20408,CSDE1,ASCC3,O75534,Q8N3C0,0.41829934716224604,0.8530446887016291,0.05681109428405701,0.253184735774993
20424,CSDE1,ATXN2,O75534,Q99700,0.41829934716224604,0.8530446887016291,0.9192976951599121,0.844794750213623
20431,CSDE1,BICC1,O75534,Q9H694,0.41829934716224604,0.8530446887016291,0.070358172059059,0.29048463702201804
20452,CSDE1,CAPRIN1,O75534,Q14444,0.41829934716224604,0.8530446887016291,0.9350892305374141,0.92366886138916
20501,CSDE1,CNOT1,O75534,A5YKK6,0.41829934716224604,0.8530446887016291,0.16742576658725702,0.152645871043205
20524,CSDE1,CTIF,O75534,O43310,0.41829934716224604,0.8530446887016291,0.48196253180503806,0.5972880125045771
20559,CSDE1,DDX6,O75534,P26196,0.41829934716224604,0.8530446887016291,0.7578027248382561,0.9421802759170531
20567,CSDE1,DHX57,O75534,Q6P158,0.41829934716224604,0.8530446887016291,0.30006697773933405,0.46088534593582103
20635,CSDE1,EIF4ENIF1,O75534,Q9NRA8,0.41829934716224604,0.8530446887016291,0.918528199195861,0.8912989497184751
20637,CSDE1,EIF4G2,O75534,P78344,0.41829934716224604,0.8530446887016291,0.935107350349426,0.838588714599609
20670,CSDE1,FAM120A,O75534,Q9NZB2,0.41829934716224604,0.8530446887016291,0.8501178622245781,0.8586925268173211
20671,CSDE1,FAM120C,O75534,Q9NX05,0.41829934716224604,0.8530446887016291,0.23158136010169902,0.102664865553379
20682,CSDE1,FMR1,O75534,Q06787,0.41829934716224604,0.8530446887016291,0.5003023147583,0.9142025709152221
20684,CSDE1,FUBP3,O75534,Q96I24,0.41829934716224604,0.8530446887016291,0.927373111248016,0.896067440509796
20687,CSDE1,FXR2,O75534,P51116,0.41829934716224604,0.8530446887016291,0.909103691577911,0.93657237291336
20688,CSDE1,G3BP1,O75534,Q13283,0.41829934716224604,0.8530446887016291,0.9298263788223261,0.5750792622566221
20689,CSDE1,G3BP2,O75534,Q9UN86,0.41829934716224604,0.8530446887016291,0.827478051185607,0.9036784172058101
20731,CSDE1,HELZ,O75534,P42694,0.41829934716224604,0.8530446887016291,0.8446741104125971,0.836807429790496
20758,CSDE1,HOOK1,O75534,Q9UJC3,0.41829934716224604,0.8530446887016291,0.05643098428845401,0.14933803677558902
20759,CSDE1,HOOK3,O75534,Q86VS8,0.41829934716224604,0.8530446887016291,0.347099959850311,0.7341315746307371
20779,CSDE1,IBTK,O75534,Q9P2D0,0.41829934716224604,0.8530446887016291,0.135052159428596,0.5361476540565491
20782,CSDE1,IGF2BP2,O75534,Q9Y6M1,0.41829934716224604,0.8530446887016291,0.7169618606567381,0.877931773662567
20805,CSDE1,KIF1B,O75534,O60333,0.41829934716224604,0.8530446887016291,0.24660500884056002,0.7511826753616331
20807,CSDE1,KIF1C,O75534,O43896,0.41829934716224604,0.8530446887016291,0.78532463312149,0.7623963356018061
20829,CSDE1,LARP1B,O75534,Q659C4,0.41829934716224604,0.8530446887016291,0.902065575122833,0.8965162038803101
20830,CSDE1,LARP4,O75534,Q71RC2,0.41829934716224604,0.8530446887016291,0.8875218629837031,0.9059172868728631
20831,CSDE1,LARP4B,O75534,Q92615,0.41829934716224604,0.8530446887016291,0.7897013425827021,0.913986682891845
