,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
93,MOB3B,RPL35,Q86TA1,P42766,0.060052245855331005,0.18802669644355702,0.496975719928741,0.506664276123046
102,MOB3B,DOCK7,Q86TA1,Q96N67,0.060052245855331005,0.18802669644355702,0.694895446300506,0.79361480474472
123,MOB3B,FLNC,Q86TA1,Q14315,0.060052245855331005,0.18802669644355702,0.555411696434021,0.667471349239349
139,MOB3B,DOCK7,Q86TA1,Q96N67,0.060052245855331005,0.18802669644355702,0.694895446300506,0.79361480474472
151,MOB3B,MAP2K1,Q86TA1,Q02750,0.060052245855331005,0.18802669644355702,0.44961470365524203,0.327995359897613
184,MOB3B,IMMT,Q86TA1,Q16891,0.060052245855331005,0.18802669644355702,0.5051859617233271,0.772271633148193
186,MOB3B,MAP4K4,Q86TA1,O95819,0.060052245855331005,0.18802669644355702,0.9037445187568661,0.9482237696647641
189,MOB3B,MINK1,Q86TA1,Q8N4C8,0.060052245855331005,0.18802669644355702,0.906365513801574,0.767896294593811
190,MOB3B,DOCK9,Q86TA1,Q9BZ29,0.060052245855331005,0.18802669644355702,0.152451008558273,0.542798638343811
194,MOB3B,DOCK11,Q86TA1,Q5JSL3,0.060052245855331005,0.18802669644355702,0.09599203616380601,0.65864360332489
195,MOB3B,PTPN14,Q86TA1,Q15678,0.060052245855331005,0.18802669644355702,0.7634588479995721,0.834039330482482
218,MOB3B,DHX37,Q86TA1,Q8IY37,0.060052245855331005,0.18802669644355702,0.055739175528287006,0.17998468875885001
220,MOB3B,HYOU1,Q86TA1,Q9Y4L1,0.060052245855331005,0.18802669644355702,0.06670741736888801,0.7952891588211061
223,MOB3B,DOCK9,Q86TA1,Q9BZ29,0.060052245855331005,0.18802669644355702,0.152451008558273,0.542798638343811
228,MOB3B,STOML2,Q86TA1,Q9UJZ1,0.060052245855331005,0.18802669644355702,0.435761630535125,0.293178141117095
229,MOB3B,MAIP1,Q86TA1,Q8WWC4,0.060052245855331005,0.18802669644355702,0.08184126019477801,0.067243628203868
230,MOB3B,FAF2,Q86TA1,Q96CS3,0.060052245855331005,0.18802669644355702,0.271441161632537,0.63299161195755
238,MOB3B,ATP2B1,Q86TA1,P20020,0.060052245855331005,0.18802669644355702,0.24271281063556602,0.47189491987228305
246,MOB3B,NDUFA13,Q86TA1,Q9P0J0,0.060052245855331005,0.18802669644355702,0.058518625795841,0.207259848713874
247,MOB3B,RAB13,Q86TA1,P51153,0.060052245855331005,0.18802669644355702,0.7162893414497371,0.7802711725234981
254,MOB3B,RPP14,Q86TA1,O95059,0.060052245855331005,0.18802669644355702,0.072389289736747,0.24506247043609602
262,MOB3B,KRI1,Q86TA1,Q8N9T8,0.060052245855331005,0.18802669644355702,0.8932437896728511,0.7627396583557121
265,MOB3B,HSPB1,Q86TA1,P04792,0.060052245855331005,0.18802669644355702,0.370258599519729,0.786249041557312
266,MOB3B,HAX1,Q86TA1,O00165,0.060052245855331005,0.18802669644355702,0.8057647943496701,0.7743625640869141
274,MOB3B,SFXN4,Q86TA1,Q6P4A7,0.060052245855331005,0.18802669644355702,0.081121928989887,0.04744853451848
292,MOB3B,PRPS1,Q86TA1,P60891,0.060052245855331005,0.18802669644355702,0.133691325783729,0.11581566184759101
308,MOB3B,MTHFD1L,Q86TA1,Q6UB35,0.060052245855331005,0.18802669644355702,0.13354226946830702,0.10069222748279501
