Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
BAG2,TEX2,O95816,Q8IWB9,0.8181554079055781,0.7375581860542291,0.386189997196197,0.584977746009826
RTN4,TEX2,Q9NQC3,Q8IWB9,0.8181554079055781,0.7375581860542291,0.601467251777648,0.507771134376525
EMD,TEX2,P50402,Q8IWB9,0.8181554079055781,0.7375581860542291,0.620254874229431,0.8601573109626771
ESYT1,TEX2,Q9BSJ8,Q8IWB9,0.8181554079055781,0.7375581860542291,0.6062819361686701,0.431197941303253
RTN3,TEX2,O95197,Q8IWB9,0.8181554079055781,0.7375581860542291,0.387663185596466,0.5757285952568051
NUP155,TEX2,O75694,Q8IWB9,0.8181554079055781,0.7375581860542291,0.155495926737785,0.315700143575668
CLMN,TEX2,Q96JQ2,Q8IWB9,0.8181554079055781,0.7375581860542291,0.7332796454429621,0.7169059514999391
BAG5,TEX2,Q9UL15,Q8IWB9,0.8181554079055781,0.7375581860542291,0.053343880921602006,0.36865577101707403
ANKLE2,TEX2,Q86XL3,Q8IWB9,0.8181554079055781,0.7375581860542291,0.759124457836151,0.899663090705871
TACC1,TEX2,O75410,Q8IWB9,0.8181554079055781,0.7375581860542291,0.852357685565948,0.766830682754516
DDRGK1,TEX2,Q96HY6,Q8IWB9,0.8181554079055781,0.7375581860542291,0.5970907211303711,0.80882728099823
RTN1,TEX2,Q16799,Q8IWB9,0.8181554079055781,0.7375581860542291,0.060337353497743,0.36128845810890203
VAPA,TEX2,Q9P0L0,Q8IWB9,0.8181554079055781,0.7375581860542291,0.50729352235794,0.8786071538925171
FKBP8,TEX2,Q14318,Q8IWB9,0.8181554079055781,0.7375581860542291,0.07028006762266101,0.132764652371406
PDZD8,TEX2,Q8NEN9,Q8IWB9,0.8181554079055781,0.7375581860542291,0.08954462409019401,0.576348662376403
LSG1,TEX2,Q9H089,Q8IWB9,0.8181554079055781,0.7375581860542291,0.245114833116531,0.864392757415771
OSBPL8,TEX2,Q9BZF1,Q8IWB9,0.8181554079055781,0.7375581860542291,0.8759111166000361,0.729255437850952
RPL38,TEX2,P63173,Q8IWB9,0.8181554079055781,0.7375581860542291,0.368557631969451,0.7345945239067071
ALDH3A2,TEX2,P51648,Q8IWB9,0.8181554079055781,0.7375581860542291,0.054093427956104,0.06557263433933201
UBB,TEX2,P0CG47,Q8IWB9,0.8181554079055781,0.7375581860542291,0.687756896018981,0.806820213794708
DCAKD,TEX2,Q8WVC6,Q8IWB9,0.8181554079055781,0.7375581860542291,0.059403348714113006,0.13548420369625
CDKAL1,TEX2,Q5VV42,Q8IWB9,0.8181554079055781,0.7375581860542291,0.07540902495384201,0.346583694219589
CKAP4,TEX2,Q07065,Q8IWB9,0.8181554079055781,0.7375581860542291,0.9462422132492061,0.8865084648132321
FAF2,TEX2,Q96CS3,Q8IWB9,0.8181554079055781,0.7375581860542291,0.271441161632537,0.63299161195755
RAB3GAP2,TEX2,Q9H2M9,Q8IWB9,0.8181554079055781,0.7375581860542291,0.073174230754375,0.12284781038761101
VAPB,TEX2,O95292,Q8IWB9,0.8181554079055781,0.7375581860542291,0.580545842647552,0.9506982564926141
MIA3,TEX2,Q5JRA6,Q8IWB9,0.8181554079055781,0.7375581860542291,0.621209442615509,0.7640144228935241
STIM1,TEX2,Q13586,Q8IWB9,0.8181554079055781,0.7375581860542291,0.837684452533721,0.6984013915061951
COPA,TEX2,P53621,Q8IWB9,0.8181554079055781,0.7375581860542291,0.410297244787216,0.549479365348815
SRPRB,TEX2,Q9Y5M8,Q8IWB9,0.8181554079055781,0.7375581860542291,0.09134366363286901,0.068793088197708
RINT1,TEX2,Q6NUQ1,Q8IWB9,0.8181554079055781,0.7375581860542291,0.054707199335098,0.054285436868667006
AMFR,TEX2,Q9UKV5,Q8IWB9,0.8181554079055781,0.7375581860542291,0.048638023436069,0.12116153538227001
STUB1,TEX2,Q9UNE7,Q8IWB9,0.8181554079055781,0.7375581860542291,0.42250671982765203,0.6671655774116511
ASNS,TEX2,P08243,Q8IWB9,0.8181554079055781,0.7375581860542291,0.053628254681825006,0.10443539917469001
RAF1,TEX2,P04049,Q8IWB9,0.8181554079055781,0.7375581860542291,0.655353665351867,0.876403152942657
TELO2,TEX2,Q9Y4R8,Q8IWB9,0.8181554079055781,0.7375581860542291,0.066536590456962,0.034938436001539
HSPA4L,TEX2,O95757,Q8IWB9,0.8181554079055781,0.7375581860542291,0.126233786344528,0.8579718470573421
SNAP47,TEX2,Q5SQN1,Q8IWB9,0.8181554079055781,0.7375581860542291,0.069723919034004,0.632287442684173
INF2,TEX2,Q27J81,Q8IWB9,0.8181554079055781,0.7375581860542291,0.801870822906494,0.70082151889801
CYP51A1,TEX2,Q16850,Q8IWB9,0.8181554079055781,0.7375581860542291,0.11284913122653902,0.11274864524602801
NDC1,TEX2,Q9BTX1,Q8IWB9,0.8181554079055781,0.7375581860542291,0.295504331588745,0.262205779552459
DNAJC7,TEX2,Q99615,Q8IWB9,0.8181554079055781,0.7375581860542291,0.049237769097089004,0.557966768741607
CCDC47,TEX2,Q96A33,Q8IWB9,0.8181554079055781,0.7375581860542291,0.052098143845796,0.21329167485237102
RPN1,TEX2,P04843,Q8IWB9,0.8181554079055781,0.7375581860542291,0.25094354152679405,0.318942010402679
CLCC1,TEX2,Q96S66,Q8IWB9,0.8181554079055781,0.7375581860542291,0.543007373809814,0.814840912818908
ACSL3,TEX2,O95573,Q8IWB9,0.8181554079055781,0.7375581860542291,0.05993826314806901,0.2918022274971
LEMD3,TEX2,Q9Y2U8,Q8IWB9,0.8181554079055781,0.7375581860542291,0.8668947219848631,0.708945095539093
LRCH4,TEX2,O75427,Q8IWB9,0.8181554079055781,0.7375581860542291,0.8180410265922541,0.633114993572235
HOOK1,TEX2,Q9UJC3,Q8IWB9,0.8181554079055781,0.7375581860542291,0.05643098428845401,0.14933803677558902
RAB3GAP1,TEX2,Q15042,Q8IWB9,0.8181554079055781,0.7375581860542291,0.08686010539531701,0.811455726623535
TYW1,TEX2,Q9NV66,Q8IWB9,0.8181554079055781,0.7375581860542291,0.050111304968595005,0.579295635223388
SMPD4,TEX2,Q9NXE4,Q8IWB9,0.8181554079055781,0.7375581860542291,0.053155649453401004,0.038148839026689
NBAS,TEX2,A2RRP1,Q8IWB9,0.8181554079055781,0.7375581860542291,0.050835020840168006,0.11564290523529001
MLF2,TEX2,Q15773,Q8IWB9,0.8181554079055781,0.7375581860542291,0.8904368281364441,0.8603854179382321
