,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
28,AGO2,AGO1,Q9UKV8,Q9UL18,0.125312715768814,0.8902974128723141,0.061913449317216006,0.14257833361625602
29,AGO2,AGO3,Q9UKV8,Q9H9G7,0.125312715768814,0.8902974128723141,0.07245331257581701,0.351395457983016
49,AGO2,ANKHD1,Q9UKV8,Q8IWZ3,0.125312715768814,0.8902974128723141,0.6686410307884211,0.484839290380477
53,AGO2,ANKRD52,Q9UKV8,Q8NB46,0.125312715768814,0.8902974128723141,0.10190691053867301,0.22405306994915003
87,AGO2,ATXN2,Q9UKV8,Q99700,0.125312715768814,0.8902974128723141,0.9192976951599121,0.844794750213623
95,AGO2,BCR,Q9UKV8,P11274,0.125312715768814,0.8902974128723141,0.779595255851745,0.786240220069885
103,AGO2,BYSL,Q9UKV8,Q13895,0.125312715768814,0.8902974128723141,0.10541991144418701,0.287927567958831
135,AGO2,CCSER2,Q9UKV8,Q9H7U1,0.125312715768814,0.8902974128723141,0.7321401834487911,0.5225425958633421
155,AGO2,CEP192,Q9UKV8,Q8TEP8,0.125312715768814,0.8902974128723141,0.069603644311428,0.137897923588752
157,AGO2,CEP85,Q9UKV8,Q6P2H3,0.125312715768814,0.8902974128723141,0.686874747276306,0.628072619438171
179,AGO2,CNOT1,Q9UKV8,A5YKK6,0.125312715768814,0.8902974128723141,0.16742576658725702,0.152645871043205
180,AGO2,CNOT10,Q9UKV8,Q9H9A5,0.125312715768814,0.8902974128723141,0.048076625913381,0.130353718996047
182,AGO2,CNOT2,Q9UKV8,Q9NZN8,0.125312715768814,0.8902974128723141,0.8796504139900201,0.9464982748031611
183,AGO2,CNOT3,Q9UKV8,O75175,0.125312715768814,0.8902974128723141,0.8002820014953611,0.7462113499641411
185,AGO2,CNOT7,Q9UKV8,Q9UIV1,0.125312715768814,0.8902974128723141,0.049496985971927004,0.074488848447799
187,AGO2,CNOT9,Q9UKV8,Q92600,0.125312715768814,0.8902974128723141,0.08026347309350901,0.085335381329059
