,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,LSM2,Q9Y333,Q6P2Q9,29395067,PRPF8,0.179838389158248,0.49471378326416,0.055361520498991,0.598593413829803,0.6091939210891724
1,LSM2,Q9Y333,P62316,29395067,SNRPD2,0.179838389158248,0.49471378326416,0.562093913555145,0.577940583229064,0.7743036150932312
2,LSM2,Q9Y333,Q6P4R8,29395067,NFRKB,0.179838389158248,0.49471378326416,0.417142003774642,0.297662645578384,0.540833592414856
3,LSM2,Q9Y333,Q68EM7,29395067,ARHGAP17,0.179838389158248,0.49471378326416,0.889636695384979,0.748611629009246,0.5105255842208862
4,LSM2,Q9Y333,Q8WYA6,29395067,CTNNBL1,0.179838389158248,0.49471378326416,0.054278206080198,0.443033128976821,0.4470889568328857
5,LSM2,Q9Y333,P62314,29395067,SNRPD1,0.179838389158248,0.49471378326416,0.09306226670742,0.757861077785491,0.7407361268997192
6,LSM2,Q9Y333,Q9NWZ8,29395067,GEMIN8,0.179838389158248,0.49471378326416,0.547690510749816,0.883135974407196,0.6122089624404907
7,LSM2,Q9Y333,Q9NRA8,29395067,EIF4ENIF1,0.179838389158248,0.49471378326416,0.918528199195861,0.8912989497184751,0.6192547678947449
8,LSM2,Q9Y333,Q9Y3C6,29395067,PPIL1,0.179838389158248,0.49471378326416,0.077709801495075,0.42443299293518,0.5385363101959229
9,LSM2,Q9Y333,P09012,29395067,SNRPA,0.179838389158248,0.49471378326416,0.486682474613189,0.5753961801528931,0.6991046071052551
10,LSM2,Q9Y333,Q9BZJ0,29395067,CRNKL1,0.179838389158248,0.49471378326416,0.059319127351045,0.224162727594375,0.6052433848381042
11,LSM2,Q9Y333,O43660,29395067,PLRG1,0.179838389158248,0.49471378326416,0.063418045639991,0.590099155902862,0.601432204246521
12,LSM2,Q9Y333,Q8N8D1,29395067,PDCD7,0.179838389158248,0.49471378326416,0.377020567655563,0.326120138168334,0.671667218208313
13,LSM2,Q9Y333,O95400,29395067,CD2BP2,0.179838389158248,0.49471378326416,0.92874938249588,0.8623639345169061,0.2040462493896484
