,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,RepoMan,Q69YH5,P62269,33134894,RPS18,0.908336639404296,0.6187341809272761,0.403224408626556,0.573610007762908,0.5781623125076294
1,RepoMan,Q69YH5,O43684,33134894,BUB3,0.908336639404296,0.6187341809272761,0.374361425638198,0.7024703025817871,0.5096334218978882
2,RepoMan,Q69YH5,Q5JRX3,33134894,PITRM1,0.908336639404296,0.6187341809272761,0.063462436199188,0.145329937338829,0.4622487425804138
3,RepoMan,Q69YH5,Q8IUE6,33134894,H2AC21,0.908336639404296,0.6187341809272761,0.425272941589355,0.278965562582016,0.6541746854782104
4,RepoMan,Q69YH5,P15531,33134894,NME1,0.908336639404296,0.6187341809272761,0.568373322486877,0.643221735954284,0.4671701490879059
5,RepoMan,Q69YH5,Q9HCC0,33134894,MCCC2,0.908336639404296,0.6187341809272761,0.049439419060945,0.241557478904724,0.2436360567808151
6,RepoMan,Q69YH5,Q5TEC6,33134894,H3-7,0.908336639404296,0.6187341809272761,0.06967999,0.626707,0.6019539833068848
7,RepoMan,Q69YH5,Q13765,33134894,NACA,0.908336639404296,0.6187341809272761,0.054367274045944,0.504813194274902,0.5433807373046875
8,RepoMan,Q69YH5,Q86YP4,33134894,GATAD2A,0.908336639404296,0.6187341809272761,0.765493273735046,0.754429459571838,0.600530743598938
9,RepoMan,Q69YH5,O95163,33134894,ELP1,0.908336639404296,0.6187341809272761,0.047134179621934,0.09872917830944,0.5707852840423584
10,RepoMan,Q69YH5,P55795,33134894,HNRNPH2,0.908336639404296,0.6187341809272761,0.945960402488708,0.935519874095916,0.6092222332954407
11,RepoMan,Q69YH5,Q01081,33134894,U2AF1,0.908336639404296,0.6187341809272761,0.859735310077667,0.907655537128448,0.6080458164215088
12,RepoMan,Q69YH5,Q93009,33134894,USP7,0.908336639404296,0.6187341809272761,0.065114803612232,0.352672517299652,0.6336853504180908
13,RepoMan,Q69YH5,P12268,33134894,IMPDH2,0.908336639404296,0.6187341809272761,0.320046216249465,0.56648188829422,0.5282071232795715
14,RepoMan,Q69YH5,Q9NP81,33134894,SARS2,0.908336639404296,0.6187341809272761,0.058221660554409,0.09637676179409,0.2323756664991378
15,RepoMan,Q69YH5,O15357,33134894,INPPL1,0.908336639404296,0.6187341809272761,0.6902495622634881,0.686562299728393,0.5836296081542969
16,RepoMan,Q69YH5,Q9UBN7,33134894,HDAC6,0.908336639404296,0.6187341809272761,0.096983142197132,0.277023196220397,0.5683625340461731
17,RepoMan,Q69YH5,Q99832,33134894,CCT7,0.908336639404296,0.6187341809272761,0.396182566881179,0.239197224378585,0.5425785779953003
18,RepoMan,Q69YH5,Q9Y678,33134894,COPG1,0.908336639404296,0.6187341809272761,0.203973963856697,0.241964295506477,0.538239598274231
19,RepoMan,Q69YH5,P62280,33134894,RPS11,0.908336639404296,0.6187341809272761,0.712270617485046,0.8977368474006651,0.617682158946991
20,RepoMan,Q69YH5,P61106,33134894,RAB14,0.908336639404296,0.6187341809272761,0.5143526792526241,0.408039391040802,0.3394119143486023
21,RepoMan,Q69YH5,P41240,33134894,CSK,0.908336639404296,0.6187341809272761,0.261618942022323,0.372071504592895,0.5116187334060669
22,RepoMan,Q69YH5,Q15185,33134894,PTGES3,0.908336639404296,0.6187341809272761,0.8146872520446771,0.9434901475906372,0.6253164410591125
23,RepoMan,Q69YH5,P23527,33134894,H2BC17,0.908336639404296,0.6187341809272761,0.5021870732307431,0.8059059977531431,0.6699199676513672
24,RepoMan,Q69YH5,Q562R1,33134894,ACTBL2,0.908336639404296,0.6187341809272761,0.508827686309814,0.441032648086547,0.5444188714027405
25,RepoMan,Q69YH5,P04843,33134894,RPN1,0.908336639404296,0.6187341809272761,0.250943541526794,0.318942010402679,0.4512221813201904
26,RepoMan,Q69YH5,Q9H9B4,33134894,SFXN1,0.908336639404296,0.6187341809272761,0.054716754704713,0.06574347615242,0.4236791729927063
27,RepoMan,Q69YH5,P67936,33134894,TPM4,0.908336639404296,0.6187341809272761,0.619767487049102,0.55419898033142,0.5477858185768127
28,RepoMan,Q69YH5,P46109,33134894,CRKL,0.908336639404296,0.6187341809272761,0.571638584136962,0.805967926979064,0.5940743684768677
29,RepoMan,Q69YH5,P12236,33134894,SLC25A6,0.908336639404296,0.6187341809272761,0.561028659343719,0.5380701422691341,0.334613025188446
30,RepoMan,Q69YH5,P62736,33134894,ACTA2,0.908336639404296,0.6187341809272761,0.474418699741363,0.585259795188903,0.5765778422355652
31,RepoMan,Q69YH5,P18124,33134894,RPL7,0.908336639404296,0.6187341809272761,0.473450899124145,0.732934534549713,0.6616839170455933
32,RepoMan,Q69YH5,P53396,33134894,ACLY,0.908336639404296,0.6187341809272761,0.528128921985626,0.7460007667541501,0.3541429936885834
33,RepoMan,Q69YH5,P50914,33134894,RPL14,0.908336639404296,0.6187341809272761,0.060722433030605,0.307815492153167,0.6341612339019775
34,RepoMan,Q69YH5,O95373,33134894,IPO7,0.908336639404296,0.6187341809272761,0.052493594586849,0.078765615820884,0.7491615414619446
35,RepoMan,Q69YH5,P35579,33134894,MYH9,0.908336639404296,0.6187341809272761,0.749034285545349,0.8638456463813781,0.6931629180908203
36,RepoMan,Q69YH5,Q9Y6C9,33134894,MTCH2,0.908336639404296,0.6187341809272761,0.286708742380142,0.423515617847442,0.3922486007213592
37,RepoMan,Q69YH5,Q9BVA1,33134894,TUBB2B,0.908336639404296,0.6187341809272761,0.6558786034584041,0.8701100349426271,0.3861698508262634
38,RepoMan,Q69YH5,O00154,33134894,ACOT7,0.908336639404296,0.6187341809272761,0.070115938782691,0.097716331481933,0.6339014172554016
39,RepoMan,Q69YH5,P06733,33134894,ENO1,0.908336639404296,0.6187341809272761,0.605673968791961,0.794546842575073,0.487074464559555
40,RepoMan,Q69YH5,P35268,33134894,RPL22,0.908336639404296,0.6187341809272761,0.7265936136245721,0.8093632459640501,0.7111049890518188
41,RepoMan,Q69YH5,P42677,33134894,RPS27,0.908336639404296,0.6187341809272761,0.217304110527038,0.358985066413879,0.5693616271018982
42,RepoMan,Q69YH5,Q14839,33134894,CHD4,0.908336639404296,0.6187341809272761,0.7110024690628051,0.915207386016845,0.8394536972045898
