,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,SPAST,Q9UBP0,P51398,36417873,DAP3,0.77106499671936,0.694820702075958,0.466707170009613,0.442288011312484,0.5498498678207397
1,SPAST,Q9UBP0,P82930,36417873,MRPS34,0.77106499671936,0.694820702075958,0.047504432499408,0.297109067440032,0.5540564060211182
2,SPAST,Q9UBP0,Q13765,36417873,NACA,0.77106499671936,0.694820702075958,0.054367274045944,0.504813194274902,0.3972455859184265
3,SPAST,Q9UBP0,Q8NBQ5,36417873,HSD17B11,0.77106499671936,0.694820702075958,0.070128761231899,0.042872760444879,0.6347803473472595
4,SPAST,Q9UBP0,O00213,36417873,APBB1,0.77106499671936,0.694820702075958,0.263429999351501,0.447896718978881,0.61979740858078
5,SPAST,Q9UBP0,Q7Z6E9,36417873,RBBP6,0.77106499671936,0.694820702075958,0.912837028503418,0.9011510014533992,0.5271967649459839
6,SPAST,Q9UBP0,P12268,36417873,IMPDH2,0.77106499671936,0.694820702075958,0.320046216249465,0.56648188829422,0.6094239354133606
7,SPAST,Q9UBP0,Q5H9R7,36417873,PPP6R3,0.77106499671936,0.694820702075958,0.145339801907539,0.442849874496459,0.573189914226532
8,SPAST,Q9UBP0,Q658P3,36417873,STEAP3,0.77106499671936,0.694820702075958,0.086506411433219,0.086467266082763,0.6271055936813354
9,SPAST,Q9UBP0,P04080,36417873,CSTB,0.77106499671936,0.694820702075958,0.25081118941307,0.449292749166488,0.3247379660606384
10,SPAST,Q9UBP0,Q96AG4,36417873,LRRC59,0.77106499671936,0.694820702075958,0.145397394895553,0.554470419883728,0.5424079298973083
11,SPAST,Q9UBP0,P27824,36417873,CANX,0.77106499671936,0.694820702075958,0.509299278259277,0.854438960552215,0.5439569354057312
12,SPAST,Q9UBP0,Q86SE9,36417873,PCGF5,0.77106499671936,0.694820702075958,0.070946343243122,0.119246318936347,0.558833658695221
13,SPAST,Q9UBP0,Q8WW12,36417873,PCNP,0.77106499671936,0.694820702075958,0.9139901995658872,0.943892121315002,0.6562392115592957
14,SPAST,Q9UBP0,P24752,36417873,ACAT1,0.77106499671936,0.694820702075958,0.334436893463134,0.329538017511367,0.5573722720146179
15,SPAST,Q9UBP0,P55327,36417873,TPD52,0.77106499671936,0.694820702075958,0.801212668418884,0.710059821605682,0.5862993001937866
