,Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
301,FOXP2,EGR2,O15409,P11161,0.437231868505477,0.10121791064739201,0.834200203418731,0.520618975162506
302,TNRC18,EGR2,O15417,P11161,0.437231868505477,0.10121791064739201,0.851553082466125,0.8756526112556451
303,ZEB2,EGR2,O60315,P11161,0.437231868505477,0.10121791064739201,0.9134694337844841,0.701518595218658
304,ATF3,EGR2,P18847,P11161,0.437231868505477,0.10121791064739201,0.059241503477096,0.329998850822448
305,SOX5,EGR2,P35711,P11161,0.437231868505477,0.10121791064739201,0.811525464057922,0.492660135030746
306,HDAC4,EGR2,P56524,P11161,0.437231868505477,0.10121791064739201,0.8376642465591431,0.6006392836570741
307,LMO4,EGR2,P61968,P11161,0.437231868505477,0.10121791064739201,0.074460424482822,0.129639774560928
308,SSBP2,EGR2,P81877,P11161,0.437231868505477,0.10121791064739201,0.924662470817565,0.7509544491767881
309,MECOM,EGR2,Q03112,P11161,0.437231868505477,0.10121791064739201,0.083625748753547,0.11049000918865201
310,NAB1,EGR2,Q13506,P11161,0.437231868505477,0.10121791064739201,0.098036870360374,0.510688543319702
311,PCGF3,EGR2,Q3KNV8,P11161,0.437231868505477,0.10121791064739201,0.081967778503894,0.24801239371299702
312,AHDC1,EGR2,Q5TGY3,P11161,0.437231868505477,0.10121791064739201,0.8994647264480591,0.740127921104431
313,SMARCD3,EGR2,Q6STE5,P11161,0.437231868505477,0.10121791064739201,0.37719455361366205,0.727510631084442
314,LDB1,EGR2,Q86U70,P11161,0.437231868505477,0.10121791064739201,0.7908104062080381,0.5877143144607541
315,INO80E,EGR2,Q8NBZ0,P11161,0.437231868505477,0.10121791064739201,0.8272409439086911,0.5003473758697511
316,TET1,EGR2,Q8NFU7,P11161,0.437231868505477,0.10121791064739201,0.09984987229108801,0.08846598118543601
317,ISL2,EGR2,Q96A47,P11161,0.437231868505477,0.10121791064739201,0.057686936110258005,0.047429136931896
318,TRERF1,EGR2,Q96PN7,P11161,0.437231868505477,0.10121791064739201,0.7479749917984001,0.616196811199188
319,BCL11B,EGR2,Q9C0K0,P11161,0.437231868505477,0.10121791064739201,0.847639083862304,0.8901456594467161
320,PRDM16,EGR2,Q9HAZ2,P11161,0.437231868505477,0.10121791064739201,0.07079227268695801,0.16013266146183
321,RESF1,EGR2,Q9HCM1,P11161,0.437231868505477,0.10121791064739201,0.32421499490737904,0.728520810604095
322,BCL9,EGR2,O00512,P11161,0.437231868505477,0.10121791064739201,0.9453983306884761,0.8145538568496701
323,ARID1A,EGR2,O14497,P11161,0.437231868505477,0.10121791064739201,0.9357618093490601,0.8561372756958001
324,KMT2D,EGR2,O14686,P11161,0.437231868505477,0.10121791064739201,0.9250968098640441,0.841981589794158
325,ZNF609,EGR2,O15014,P11161,0.437231868505477,0.10121791064739201,0.9231745004653931,0.8320931196212761
326,SEC16A,EGR2,O15027,P11161,0.437231868505477,0.10121791064739201,0.914153099060058,0.8749286532402031
327,ZNF536,EGR2,O15090,P11161,0.437231868505477,0.10121791064739201,0.101045347750186,0.072728842496871
328,TRIM24,EGR2,O15164,P11161,0.437231868505477,0.10121791064739201,0.8822690844535821,0.872316837310791
